# Band 1B   Etalon 1B   Slice 12
# Distortion map version 06.04.00 - date 2018-10-09
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness        wavelength
0.0  463  7  6.7338797868  6.39771167411  0.102625489837  5.56465202427
0.0  463  14  14.2622785239  7.45216820899  0.169183917127  5.57315829867
0.0  463  22  21.6628895485  6.55892958474  0.0442527641889  5.58167860953
0.0  463  29  29.4375751979  7.86238804122  0.210470923887  5.59023927872
0.0  463  37  36.9961394962  8.06674383026  0.0959802234565  5.59879471562
0.0  463  45  44.6437468909  7.42771766198  0.0402452910087  5.60744206093
0.0  463  52  52.7178444223  9.59343192199  0.275876178509  5.61607212195
0.0  463  60  60.5696908536  10.2475741701  0.255674362259  5.62475850646
0.0  464  68  68.4801961623  10.8517858218  0.169356662236  5.6334745655
0.0  464  76  76.4602918179  0.288120495904  0.200989035302  5.64224429058
0.0  464  84  84.495060597  0.318472211522  0.196650727513  5.65107091444
0.0  464  92  92.4561315061  0.329841097428  0.177878193336  5.65992358461
0.0  464  100  100.30629643  16.6110548148  0.153985278773  5.66870398567
0.0  464  108  108.46253902  18.3361363173  0.125105790903  5.67764286157
0.0  464  116  116.417992209  0.437868849121  0.118385610961  5.68658310186
0.0  464  124  124.196143066  0.467167927852  0.110370388847  5.69557057332
0.0  464  132  131.959255287  15.6991423725  0.136199098041  5.7047212932
0.0  464  139  139.859790254  0.49445998421  0.104156328507  5.71367297138
0.0  465  148  148.413406321  17.4438876759  0.131974813594  5.72269465075
0.0  465  157  156.68282861  13.4333537159  0.0933950446165  5.7319194112
0.0  465  165  165.258868647  13.2124827844  0.19700927958  5.74116177365
0.0  465  173  173.703114411  0.287862489821  0.195367249352  5.75025048468
0.0  465  182  182.118040978  10.8570685418  0.139383950882  5.75940973524
0.0  465  191  190.479803698  10.0854143283  0.0109447433489  5.76886544792
0.0  465  199  199.241915971  0.141971775404  0.152423890201  5.77804751276
0.0  465  208  207.680257439  10.224853956  0.0399053172147  5.7872140016
0.0  465  216  216.440259765  10.4096153813  0.179277621495  5.79657449711
0.0  465  225  224.937862992  10.3952857555  0.0749381226838  5.80596032159
0.0  466  234  233.704227787  10.5734738376  0.031670610419  5.81533347882
0.0  466  242  242.472573163  0.311113820974  0.224173107631  5.82475181365
0.0  466  251  250.955486087  11.6531826624  0.08180377852  5.834003909
0.0  466  260  259.523761565  11.6924994253  0.0228523150191  5.84334137798
0.0  466  268  268.37715124  13.0780041469  0.197382760604  5.85280891825
0.0  466  277  276.949782537  0.154476865484  0.123072981273  5.86230272311
0.0  466  286  285.646259011  11.0153686638  0.0917884374026  5.87178929327
0.0  466  295  294.4336214  9.63931699348  0.0137012686349  5.88131747247
0.0  466  303  303.658392048  9.785445984  0.271928262095  5.89082531409
0.0  466  312  312.704971991  0.360066935275  0.247914032977  5.90031778026
0.0  466  322  321.539725477  8.38478682443  0.0302692071469  5.90987248275
0.0  466  331  330.78988947  0.0972582388733  0.0706091241899  5.91952049921
0.0  466  340  340.115330406  0.100241072674  0.114662210367  5.92912016216
0.0  466  349  349.454158779  9.24374293282  0.150753622141  5.93882804043
0.0  467  359  358.615364522  8.17776714367  0.00544231040485  5.94854740726
0.0  467  368  368.21045814  8.37899456295  0.107043727444  5.95824779247
0.0  467  377  377.835172105  10.973277008  0.240342276945  5.96801019447
0.0  467  387  387.011662789  9.42780125449  0.0679008705004  5.97783395132
0.0  467  396  396.699836542  12.8759886975  0.204936605611  5.9875754491
0.0  467  406  405.848236868  10.5884050121  0.06864117481  5.99743806176
0.0  467  415  415.464617795  0.431209581278  0.185492050803  6.00726896576
0.0  467  425  424.5791586  0.136641791813  0.0479276732504  6.01716270755
0.0  467  434  434.259969692  12.2502053716  0.135918593849  6.02716862985
0.0  467  444  443.77212787  11.4454794637  0.063669242223  6.03710533069
0.0  467  454  453.56710284  10.7886843775  0.0356726810236  6.04715801585
0.0  467  464  463.502208992  9.03457318803  0.0279200952952  6.05721423219
0.0  467  473  473.767892209  9.97468787397  0.186719392287  6.0673404902
0.0  467  484  483.587367372  9.7271844049  0.0285565113818  6.07736367848
0.0  467  494  493.721206183  9.7598047201  0.0364837638442  6.08750579742
0.0  467  504  504.023545175  9.7611721211  0.0656346171677  6.09775755378
0.0  467  514  514.313996108  10.070318871  0.0996812050281  6.10802640259
0.0  467  525  524.560749433  10.4719139741  -0.00142870647789  6.11831556366
0.0  467  535  535.107992267  0.133161703257  0.0488795480587  6.12849765998
0.0  467  545  545.796219239  11.7899359643  0.142869031115  6.13891215014
0.0  467  556  556.168259898  12.7382200164  0.0500158861521  6.14917215024
0.0  467  566  566.979849494  14.9138924908  0.174538039812  6.15971933545
0.0  467  577  577.414227399  15.345064244  0.0782973887805  6.17012743402
0.0  467  588  587.94047503  16.7684189165  0.00445973902219  6.18063703086
0.0  467  598  598.776388468  0.455116189347  0.127033225623  6.19121648236
0.0  467  609  608.991574719  20.6459479749  0.0558056482802  6.20185574842
0.0  467  620  619.343579272  20.1657927923  -0.00981365565155  6.21242301803
0.0  467  630  630.308270585  0.514351741448  0.116281374713  6.22299658136
0.0  467  641  640.994035958  18.3765261302  0.108700200158  6.23372323918
0.0  467  652  651.804920194  17.2647596775  0.0655684162504  6.24457978086
0.0  467  663  662.88201632  15.4888131583  0.0819930879157  6.25539373847
0.0  467  674  674.214466311  0.230351899683  0.108219498181  6.26632595781
0.0  467  686  685.466700537  12.6687381915  0.0371738574354  6.27714281074
