# Band 1B   Etalon 1B   Slice 15
# Distortion map version 06.04.00 - date 2018-10-08
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness
0.0  329  4  3.57656026379  0.0964925338073  -0.184114576458
0.0  329  12  11.9844478658  7.71878390724  0.0849065016028
0.0  329  20  19.6376655849  7.1751902569  0.024931165206
0.0  329  27  27.8040426175  0.268839167406  0.281097735536
0.0  329  35  35.685311985  0.312273001987  0.26221873776
0.0  329  43  43.4938962617  10.78920033  0.180869165623
0.0  329  51  51.4806345389  12.500541248  0.20967800159
0.0  329  59  59.5346990401  14.2613833015  0.183517260701
0.0  330  67  67.4554712291  16.1158644355  0.154473135178
0.0  330  75  75.2780783438  0.39328901382  0.140107750922
0.0  330  83  83.37634014  19.2372214734  0.117678734994
0.0  330  91  91.0838295448  0.440581378529  0.123384141808
0.0  330  99  99.0072772126  0.43701344101  0.124326565246
0.0  330  107  106.970267697  0.411622821011  0.132374049175
0.0  330  115  115.485018011  17.1346448484  0.132126633391
0.0  330  124  123.549394006  14.0265400463  0.0471011016009
0.0  330  132  132.092770272  14.2809202958  0.184439349799
0.0  331  141  140.49150367  12.1224135145  0.040082224356
0.0  331  149  149.234573425  12.1869460663  0.213756740504
0.0  331  158  157.686049792  10.4864130973  0.0588827013897
0.0  331  166  166.453239302  0.371324087825  0.231708148395
0.0  331  175  174.985909486  10.5466732085  0.0923129422903
0.0  331  183  183.757079446  11.5736289383  0.225682025988
0.0  331  192  192.312624062  0.159750357849  0.160394461636
0.0  331  201  200.778591686  11.4369707452  0.0250081842144
0.0  331  209  209.633361044  0.292785654758  0.197185282262
0.0  331  218  218.203622303  13.5358592551  0.194835630227
0.0  331  227  226.649658062  0.159561488039  0.0735228359397
0.0  331  235  235.355792872  13.8711309543  0.185711042857
0.0  332  244  244.151178945  0.20865530733  0.169076547533
0.0  332  253  252.692097487  10.9705187636  0.0796007056478
0.0  332  262  261.584899796  0.120753115455  0.0536645365107
0.0  332  271  270.606788242  9.08390256976  0.0639077578575
0.0  332  280  279.740168787  8.71938685967  0.0741472099347
0.0  332  289  288.90623378  8.20024714811  0.0886355775702
0.0  332  298  298.125668999  8.08527725867  0.116740840557
0.0  332  307  307.443964132  8.22438607477  0.167975504868
0.0  332  316  316.84533901  9.82271344027  0.259651874091
0.0  332  326  325.866187731  8.77064958614  0.035015892902
0.0  332  335  335.243192875  9.0993741384  0.117554723419
0.0  332  344  344.773084636  12.3211593316  0.214078142728
0.0  332  354  353.844257785  0.123513347417  0.0550127656091
0.0  332  363  363.411449066  13.6504947453  0.191189595235
0.0  332  373  372.521173054  0.134253013583  0.0483144390021
0.0  332  382  382.053154041  0.149775084361  0.144942513705
0.0  332  391  391.609934728  0.336138220445  0.208551378295
0.0  333  401  401.206957671  11.0532550034  0.135082763906
0.0  333  411  410.909571219  10.0613487633  0.0781789181323
0.0  333  421  420.686666759  9.60402212979  0.0427317035905
0.0  333  431  430.595310721  9.33102793698  0.0298839789613
0.0  333  441  440.564874957  9.39699423586  0.0194515412565
0.0  333  451  450.709966245  9.480435739  0.0327866840689
0.0  333  461  460.877795023  9.79811464861  0.0475545533908
0.0  333  471  471.02760448  10.1648857034  0.0621528698836
0.0  333  481  481.345311793  10.7952597067  0.0919999933227
0.0  333  491  491.79443759  0.179353999535  0.161031378033
0.0  333  502  501.819799439  12.9972448609  0.00568395537452
0.0  333  512  512.185024876  14.751672357  0.073557155785
0.0  333  522  522.67483382  0.423101981141  0.147988597737
0.0  333  533  532.64920381  16.8899538635  0.0114197674349
0.0  333  543  542.916368336  17.4391986555  0.0689701342922
0.0  333  553  553.430367927  0.470878487223  0.13443073648
0.0  333  564  563.559319848  16.167077632  0.0318840976015
0.0  333  574  574.564786685  0.52005956227  0.159272525167
0.0  333  585  585.258034784  14.4326717704  0.102234048788
0.0  333  596  596.140991132  13.4509759287  0.0942008886293
0.0  333  607  607.132768887  12.9491891832  0.0929821761602
0.0  333  618  618.258860668  12.2486983837  0.103746443301
0.0  333  629  629.661654366  13.8811640212  0.133359477187
0.0  333  641  640.614903072  11.6803656808  0.0349066790105
0.0  333  652  652.07394043  11.4168638077  0.0739762171995
0.0  333  663  663.665764905  12.4032488989  0.132300225788
0.0  332  675  674.94361634  10.6497877066  0.0606298959284
0.0  332  686  686.682961408  11.9324390515  0.124886328288
0.0  332  698  698.221202124  11.7786927449  0.0721977680397
0.0  332  710  709.717565416  10.405334499  0.00793554890506
0.0  332  721  721.580707341  11.6723348071  0.103809415738
0.0  332  733  733.238742363  11.8402487532  0.0707412619336
0.0  332  745  744.826683927  10.5659487186  0.0140665723731
0.0  332  756  756.844845482  0.174923193267  0.143410264019
0.0  332  768  768.50605598  12.1798269757  0.108628709314
0.0  332  780  780.324771282  11.7136843118  0.102467214705
0.0  332  792  792.143304971  10.8043670723  0.0893531340862
0.0  332  804  804.041889511  10.2546564069  0.0832211072579
0.0  332  816  816.10721316  9.38452047834  0.0955393045197
0.0  332  828  828.250008961  8.46461624209  0.11129555731
0.0  331  840  840.479348604  7.61155249914  0.127282687531
0.0  331  853  852.745259727  6.76831535138  0.0648851052739
0.0  331  865  865.2887921  6.01924879804  0.108339442186
0.0  331  878  877.800520451  5.50173803592  0.0546968690454
0.0  331  890  890.512930024  5.07903959213  0.0949023237199
0.0  331  903  903.232479567  4.74315603498  0.0591269105239
0.0  331  916  916.043868235  4.52897977593  0.036447537634
0.0  331  929  928.892175963  4.39200041598  -0.00216211366112
0.0  330  942  941.822529192  4.32453549065  -0.00766180117399
0.0  330  955  954.812444591  4.05813650325  -0.00841205509972
0.0  330  968  967.960105746  4.07958580282  -0.00304717201048
0.0  330  981  981.141536676  3.90101582854  0.0132207909919
0.0  330  994  994.44369554  3.96437868528  0.0380717209071
0.0  330  1008  1007.75282942  3.71192371746  -0.00403328656938
