# Band 1B   Etalon 1B   Slice 11
# Distortion map version 06.04.00 - date 2018-10-08
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness
0.0  26  6  6.51697089656  9.18176802472  0.249203759148
0.0  26  14  14.3338940751  0.123011125592  0.181297318861
0.0  26  22  22.4842461081  0.130958526698  0.216085912988
0.0  26  30  30.6491595632  9.41487373909  0.278125494608
0.0  26  39  38.7258091625  9.63693428797  0.0217204778323
0.0  26  47  47.1182030891  10.1274675521  0.0790956622108
0.0  26  55  55.5265792685  11.543923048  0.182308423541
0.0  26  64  63.6269147964  12.0635467412  -0.000905978178212
0.0  26  72  72.2528710568  0.199256323257  0.127085318289
0.0  26  80  80.5628303046  16.444195454  0.146792626138
0.0  26  88  88.6829925711  0.460176162404  0.112196213271
0.0  27  97  97.0491219699  20.5103415156  0.128011946672
0.0  27  105  105.064867666  0.499672474229  0.102971716609
0.0  27  113  113.228510738  0.472231037931  0.110215984707
0.0  27  122  121.551516576  16.4825862183  0.0771850223749
0.0  27  130  130.204436241  15.4420602168  0.165000751873
0.0  27  139  139.002463448  0.179560649155  0.137778334674
0.0  27  148  147.748273798  11.3263343537  0.0934100382536
0.0  27  157  156.57019027  10.3898612367  0.0331653113791
0.0  27  165  165.729895532  0.264127319567  0.242380511501
0.0  27  174  174.62686694  0.324868033434  0.250881625305
0.0  27  183  183.502279241  10.0131624209  0.194823924529
0.0  27  192  192.34983493  9.93198696495  0.149859337892
0.0  27  201  201.313267837  10.2261850455  0.12822544518
0.0  27  210  210.260379445  0.143451472626  0.129964062601
0.0  28  219  219.096211526  10.8716820787  0.0889664952101
0.0  28  228  228.07506569  11.7407887737  0.132406330641
0.0  28  237  236.909854089  12.4140287194  0.119404698835
0.0  28  246  245.739847013  12.199416867  0.0943379771813
0.0  28  255  254.773352533  11.0284961689  0.114907781407
0.0  28  264  263.919090184  9.81913393838  0.116698049616
0.0  28  273  273.269836641  10.5247643434  0.144776983278
0.0  28  283  282.546133948  8.34389979986  0.0405745535954
0.0  28  292  292.051443626  8.11125842974  0.0995091606188
0.0  28  301  301.683472691  9.06077185885  0.184657461546
0.0  28  311  311.1333236  9.23808575982  0.0850511719676
0.0  28  321  320.622394136  8.39760050702  -0.000992332738887
0.0  28  330  330.380229354  10.0516120035  0.11068554305
0.0  28  340  339.814179625  9.37304830329  0.0215963336384
0.0  28  349  349.70514364  12.7302505928  0.207747795984
0.0  28  359  359.065046052  0.167705842833  0.110361287594
0.0  28  369  368.476390941  10.6346041271  0.028306991511
0.0  28  378  378.38844863  0.21414826784  0.176953817847
0.0  28  388  387.943410005  10.668106035  0.0884549194639
0.0  28  398  397.850614188  9.87565967593  0.0835635596693
0.0  28  408  407.944763786  9.20877475103  0.074242077409
0.0  29  418  418.095741996  8.87253531392  0.0946538949592
0.0  29  428  428.33245886  8.99182678104  0.109844255737
0.0  29  438  438.664018402  9.24213987706  0.146106995219
0.0  29  449  448.833041138  9.70545139612  0.0190953142932
0.0  29  459  459.338176898  10.6095447761  0.0809476380231
0.0  29  470  469.563661588  11.5646715435  -0.0292062632301
0.0  29  480  480.098813524  12.7345286722  0.0410306416026
0.0  29  490  490.63596138  0.43816879505  0.173059168229
0.0  29  501  500.740978987  14.9548001189  0.0398647026501
0.0  29  511  511.244216166  0.506482264225  0.150358221702
0.0  29  521  521.611946204  16.4917925539  0.156219076123
0.0  29  532  532.035344512  14.2541409612  0.0891477628278
0.0  29  543  542.642590776  13.0598258283  0.0390307733353
0.0  29  554  553.725589427  11.7831329988  0.0548042846071
0.0  29  565  564.712181245  11.2645859776  0.0355823754466
0.0  29  576  576.060740741  11.0600574661  0.077404432627
0.0  29  587  587.383312188  10.8899048237  0.100342572504
0.0  29  598  598.792727643  12.2168760462  0.138681566982
0.0  29  610  609.961377155  0.137747490186  0.0469340766684
0.0  29  621  621.538428581  12.7422286894  0.0961410791199
0.0  29  633  632.895991913  11.9378245201  0.0308456495774
0.0  29  644  644.585731887  14.0424202901  0.0964091621584
0.0  28  656  656.315095357  14.4277699631  0.0604529202557
0.0  28  668  667.7412326  13.5373986604  0.0093142682389
