# Band 2A   Etalon 1A   Slice 16
# Distortion map version 06.04.00 - date 2018-10-09
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness
0.0  899  3  3.17046444713  1.83476016643  0.0387007339438
0.0  900  15  14.9477769858  1.77329789012  0.0399734716335
0.0  901  27  26.8359137369  1.79603269958  0.109791064155
0.0  901  39  38.614071303  1.66265110507  0.0277776419865
0.0  902  51  50.6619603832  1.65306690585  0.0152494269365
0.0  902  63  62.6452589801  1.58492002777  0.0173663463683
0.0  903  75  74.9065409619  1.65934890512  0.0680820776867
0.0  903  87  87.1933390822  1.73895271125  0.107779763046
0.0  904  99  99.5018680071  1.3729318886  0.113992811805
0.0  905  112  112.035919099  1.62323680138  0.104996726441
0.0  905  124  124.486608213  1.40086796557  0.114533001876
0.0  906  137  137.20893231  1.61039289711  0.0980913791043
0.0  906  150  149.838183428  1.62236259526  0.0387207537085
0.0  907  163  162.732137452  1.59139977698  0.0253969536203
0.0  907  176  175.610715451  1.6244825872  0.0244567410911
0.0  908  189  188.734274395  1.63714066637  0.0362728116031
0.0  908  202  201.811800795  1.67822146706  0.0353555951092
0.0  908  215  215.083317379  1.77582079214  0.0696249014409
0.0  909  228  228.447852841  1.44738671803  0.119343186009
0.0  909  242  241.791506411  1.58875694354  0.0413420291864
0.0  910  255  255.477047953  1.40882354008  0.106895968728
0.0  910  269  269.087542757  1.62504336843  0.0848476912162
0.0  910  283  282.815323413  1.78496311183  -0.0175241920333
0.0  911  297  296.728573595  1.5687979785  -0.00380538363107
0.0  911  311  310.691072787  1.61256448454  0.00373294990593
0.0  911  325  324.745769612  1.61139213974  -0.0168397917126
0.0  912  339  339.116779326  1.70115883843  0.0530638537683
0.0  912  353  353.419900011  1.62504250922  0.0751713271131
0.0  912  368  367.820927479  1.68214478695  0.0611553734363
0.0  913  383  382.511490371  1.49958793585  0.0786420316657
0.0  913  397  397.216010739  1.64797903611  0.118211177222
0.0  913  412  411.981015181  1.66173000211  0.0537763612989
0.0  913  427  426.884151385  1.64311381706  0.0123383392239
0.0  913  442  441.946390637  1.67349478735  0.0186362962247
0.0  913  457  457.156934782  1.69012101587  0.0364965170911
0.0  914  473  472.564156489  1.60899078079  -0.0119835295917
0.0  914  488  488.037033874  1.74096920235  0.0313189918549
0.0  914  504  503.597895326  1.70076425025  0.0234748360784
0.0  914  519  519.345083826  1.71570564218  0.0655069505527
0.0  914  535  535.213317134  1.7435143116  0.0843326758675
0.0  914  551  551.201222987  1.76389181167  0.0970207716711
0.0  914  567  567.346445103  1.68936924596  0.120610121186
0.0  914  584  583.579974341  1.6567165717  0.0476487642896
0.0  914  600  600.045999688  1.77139052461  0.0590843717923
