# Band 2A   Etalon 1A   Slice 9
# Distortion map version 06.04.00 - date 2018-10-09
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness        wavelength
0.0  977  8  8.34605783448  1.88495622984  -0.00543867400301  7.19118272919
0.0  978  20  20.02293715  1.8216734604  -0.0164343551638  7.20758141666
0.0  979  32  31.8572638519  1.80337596935  -0.0296190670682  7.22405539092
0.0  979  44  43.6182857928  1.7604921745  -0.0467310286602  7.24060205537
0.0  980  56  55.6354057176  1.77105048067  -0.0396277119899  7.2572231378
0.0  981  68  67.7823345199  1.80807237133  0.103205840487  7.27392259707
0.0  981  80  79.7737594562  1.75641464534  0.0130193606453  7.29069615473
0.0  982  92  92.0882487821  1.74209025436  0.0692244567045  7.30755733591
0.0  982  104  104.294053872  1.68706780695  0.0628329167136  7.32448606613
0.0  983  117  116.718786939  1.67775059365  0.0130832352676  7.34149910688
0.0  983  129  129.14648168  1.75362687751  0.018809781096  7.35858704736
0.0  984  142  141.816918595  1.72533942429  0.00579714607536  7.37575406621
0.0  984  154  154.455906015  1.668555178  0.00364767834244  7.3930018908
0.0  985  167  167.326200539  1.71043232157  -0.0136823497064  7.41033439147
0.0  985  180  180.18733085  1.70740385281  0.00877683279185  7.4277404601
0.0  986  193  193.262831599  1.67669421545  0.00521375113514  7.44523069133
0.0  986  206  206.320387615  1.62417319572  0.0448772438727  7.46281116155
0.0  987  220  219.561665098  1.61375191713  0.00704414145881  7.48046540087
0.0  987  233  232.792222922  1.66517737836  0.013745330451  7.49820975433
0.0  988  246  246.31651434  1.59498522419  0.0822185863371  7.51603192907
0.0  988  260  259.720078286  1.65361881685  0.0275851377253  7.53394238624
0.0  988  273  273.298337008  1.71149287904  -0.00927435137992  7.55193643168
0.0  989  287  287.104455908  1.71912729632  0.0209587586948  7.5700217338
0.0  989  301  300.887530453  1.73138558548  0.00391955744887  7.58818685258
0.0  990  315  314.864672975  1.83054342163  -0.00559744145463  7.60644596181
0.0  990  329  328.97907086  1.72871351755  0.0037940156823  7.62478801897
0.0  990  343  343.139440824  1.71417569386  0.0213434999201  7.6432169222
0.0  990  357  357.425680236  1.65269280626  0.0290908589773  7.66173844531
0.0  991  372  371.927128888  1.70615672621  0.0283084845671  7.6803446471
0.0  991  386  386.453931078  1.58273992634  0.0514805510668  7.69904812526
0.0  991  401  401.065355383  1.69434468125  0.022093346955  7.71784197575
0.0  991  416  415.783403232  1.65433982899  -0.0152113815095  7.73672166641
0.0  992  431  430.773652638  1.67922951726  -0.0127855732451  7.7556949654
0.0  992  446  445.786190377  1.69981997253  -0.00682580773014  7.77476341225
0.0  992  461  460.924953684  1.77689818902  -0.0108626865388  7.79392293448
0.0  992  476  476.220736592  1.78179898305  0.0234997148023  7.81317756701
0.0  992  492  491.615014675  1.78472949619  0.0157432939462  7.8325368347
0.0  992  507  507.157710599  1.83484297927  0.0149640883908  7.85198214587
0.0  992  523  522.83236085  1.79529900309  0.0247015673314  7.87152163284
0.0  992  539  538.637691668  1.74920872822  0.011664586938  7.89115894558
0.0  992  555  554.590118653  1.74185747953  0.0155022910975  7.91089855049
0.0  992  571  570.672506207  1.7488395035  0.00529062843595  7.93073880869
0.0  992  587  586.900441055  1.83156180984  -0.00638689962754  7.95067775934
0.0  992  603  603.314812742  1.83251841782  0.0309214981176  7.97071507989
0.0  992  620  619.782387826  1.85026941167  -0.0352532440968  7.9908458955
0.0  992  636  636.469857442  1.85259340319  -0.0105465908668  8.01108787094
0.0  992  653  653.30877335  1.95902300299  -0.00662189888149  8.03142653766
0.0  991  670  670.180638443  1.98828569783  -0.00244974412782  8.05186706985
0.0  991  687  687.331770344  2.01804709958  0.0154208171038  8.07241887251
0.0  991  705  704.610939021  1.98487283985  0.00449055803716  8.09306889892
0.0  991  722  722.0897569  2.03057200682  0.0338598749002  8.11382299322
0.0  990  740  739.587291202  2.03546121284  0.0256525888702  8.13469133344
0.0  990  757  757.413976342  1.9979792941  0.070984993928  8.15566417576
0.0  990  775  775.387715667  1.96973074386  0.123863081223  8.17673984077
0.0  989  793  793.407040603  1.98295034955  0.0618203969626  8.19792487393
0.0  989  812  811.672666282  2.02081107767  0.010346612823  8.21921825305
0.0  988  830  830.069894543  2.09003184234  0.0167440743684  8.24062531645
0.0  988  849  848.662316513  1.96592845594  -0.0207494964121  8.26215256974
0.0  987  867  867.46427984  2.07982617832  -0.0114467868494  8.28378288708
0.0  986  886  886.395424842  2.16546309814  -0.0174401931716  8.30551487753
0.0  986  906  905.56823765  2.24669858331  -0.0557483694037  8.32737685112
0.0  985  925  924.882058283  2.34077477536  -0.0631709824886  8.34934670723
0.0  984  944  944.386877228  2.34809596058  -0.0404072845686  8.37143526475
0.0  983  964  964.111176691  2.41459792746  -0.0106981806708  8.39363003792
0.0  982  984  983.973932406  2.47532064319  -0.019157603687  8.41595293143
0.0  981  1004  1004.12856175  2.44180605492  0.00652750734437  8.43838792507
-1.84365454936  986  10  9.73633922205  1.77061020347  -0.00790479533846  7.19118272919
-1.84365454936  987  21  21.488599607  1.72402485075  -0.0195427575455  7.20758141666
-1.84365454936  987  33  33.1658881551  1.73567909154  -0.00678670253007  7.22405539092
-1.84365454936  988  45  45.0911500599  1.70044855745  0.000177243607029  7.24060205537
-1.84365454936  989  57  57.1434964873  1.61481146678  0.157242724832  7.2572231378
-1.84365454936  989  69  69.030265319  1.68852177937  0.0374250480809  7.27392259707
-1.84365454936  990  81  81.218987748  1.64145781469  0.0775904758335  7.29069615473
-1.84365454936  990  93  93.3210899697  1.59694514106  0.0644858927481  7.30755733591
-1.84365454936  991  106  105.660903595  1.63814802922  0.0342918564182  7.32448606613
-1.84365454936  991  118  118.01476411  1.72432830996  0.0634373438872  7.34149910688
-1.84365454936  992  131  130.531197956  1.61028415904  0.0274798815305  7.35858704736
-1.84365454936  993  143  143.085273528  1.92384697292  0.0321034841327  7.37575406621
-1.84365454936  993  156  155.813528164  1.68437601822  0.00456723907473  7.3930018908
-1.84365454936  994  169  168.709355881  1.75049929984  0.144690844545  7.41033439147
-1.84365454936  994  181  181.495455655  1.64700113562  -0.0295828133352  7.4277404601
-1.84365454936  995  195  194.607260825  1.76427979461  0.166529310936  7.44523069133
-1.84365454936  995  208  207.581771694  1.61856587101  -0.00455014664878  7.46281116155
-1.84365454936  995  221  220.710676803  1.61402755787  0.0328981678745  7.48046540087
-1.84365454936  996  234  234.117999047  1.59089551714  0.0697042120845  7.49820975433
-1.84365454936  996  247  247.438837562  1.53597010168  0.0573100569283  7.51603192907
-1.84365454936  997  261  260.994389066  1.59710855045  0.0470052484695  7.53394238624
-1.84365454936  997  275  274.54915302  1.56906092213  0.0234971662615  7.55193643168
-1.84365454936  997  288  288.237188224  1.60719015211  0.0431793830619  7.5700217338
-1.84365454936  998  302  302.151999077  1.63705965711  0.0264083505968  7.58818685258
-1.84365454936  998  316  316.053491651  1.65745530356  0.0192251558311  7.60644596181
-1.84365454936  998  330  330.078057811  1.67204180602  0.0295429084439  7.62478801897
-1.84365454936  999  344  344.350767457  1.62323146981  0.0127084920643  7.6432169222
-1.84365454936  999  359  358.585159838  1.63396175599  0.0174376140414  7.66173844531
-1.84365454936  999  373  372.975189548  1.66350198996  0.0366783547484  7.6803446471
-1.84365454936  1000  388  387.597044569  1.5442105738  0.0401704888119  7.69904812526
-1.84365454936  1000  402  402.247874317  1.56482061299  0.064055719114  7.71784197575
-1.84365454936  1000  417  416.947883958  1.63864574279  0.0187440538914  7.73672166641
-1.84365454936  1000  432  431.793271647  1.62520145909  -0.00783407792044  7.7556949654
-1.84365454936  1000  447  446.776025289  1.66549503975  -0.0318167410704  7.77476341225
-1.84365454936  1000  462  461.918895746  1.6912067194  -0.0100166226024  7.79392293448
-1.84365454936  1001  477  477.311209561  1.71838366547  0.00885406787735  7.81317756701
-1.84365454936  1001  493  492.692185397  1.7136498909  0.00846493839356  7.8325368347
-1.84365454936  1001  508  508.244596676  1.72113735506  0.0326919687389  7.85198214587
-1.84365454936  1001  524  523.903111312  1.73405277124  0.0411861680432  7.87152163284
-1.84365454936  1001  540  539.697775789  1.72651223722  0.0378813427985  7.89115894558
-1.84365454936  1001  556  555.620863128  1.70121938592  0.0251075470926  7.91089855049
-1.84365454936  1001  572  571.692333927  1.73416399968  0.00350730459315  7.93073880869
-1.84365454936  1001  588  587.900344135  1.75550962929  -0.0050180484729  7.95067775934
-1.84365454936  1001  604  604.288648753  1.74123044064  0.0220229482002  7.97071507989
-1.84365454936  1001  621  620.736449709  1.72589636439  -0.0807125006783  7.9908458955
-1.84365454936  1000  637  637.343941694  1.85927277058  -0.012486143087  8.01108787094
-1.84365454936  1000  654  654.148715572  1.89484041362  -0.030164552051  8.03142653766
-1.84365454936  1000  671  671.132912566  1.92929804639  -0.0175275913582  8.05186706985
-1.84365454936  1000  688  688.254145997  1.9382909563  -0.00850969828069  8.07241887251
-1.84365454936  999  706  705.658342246  1.86411699138  0.0728369846368  8.09306889892
-1.84365454936  999  723  722.862687681  1.98591551205  0.0104908495235  8.11382299322
-1.84365454936  999  740  740.491905649  1.90979591145  0.0499076617  8.13469133344
-1.84365454936  999  758  758.428270493  2.02286804888  0.120451371436  8.15566417576
-1.84365454936  998  776  776.145932894  1.94435106573  0.0803647195785  8.17673984077
-1.84365454936  998  794  794.236748241  1.93335466424  0.0722039339866  8.19792487393
-1.84365454936  997  812  812.433807535  1.90436340723  0.0440003984721  8.21921825305
-1.84365454936  997  831  830.833183012  2.03379795091  -0.0202228333245  8.24062531645
-1.84365454936  996  849  849.440574994  2.01212996389  0.0043602163508  8.26215256974
-1.84365454936  995  868  868.266158115  1.76126576445  -0.0929698700647  8.28378288708
-1.84365454936  995  887  887.155094173  2.1605164463  -0.034195411964  8.30551487753
-1.84365454936  994  906  906.270686207  2.17719160669  -0.0459106423086  8.32737685112
-1.84365454936  993  926  925.568037814  2.27092838303  -0.0662172466082  8.34934670723
-1.84365454936  993  945  945.115607118  2.35431833818  -0.0531950868567  8.37143526475
-1.84365454936  992  965  964.777019465  2.34099137475  -0.0493161464192  8.39363003792
-1.84365454936  991  985  984.685672895  2.40362859332  -0.0358522522744  8.41595293143
-1.84365454936  990  1005  1004.77033913  2.44885216584  -0.0153507422337  8.43838792507
-1.64961454936  985  10  9.55767837296  1.78710946639  -0.0263103679662  7.19118272919
