# Band 2A   Etalon 1B   Slice 10
# Distortion map version 06.04.00 - date 2018-10-09
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness
0.0  562  4  3.56922383467  1.51709395169  -0.0484160849792
0.0  562  14  14.29403428  1.52949593057  0.0934285035048
0.0  563  25  24.8124780355  1.57848826416  -0.0143398331618
0.0  563  36  35.5932541518  1.39958877414  -0.0378466236286
0.0  564  46  46.4336437488  1.30886698113  0.114354338218
0.0  564  57  57.3714841694  1.39228557675  0.13617698456
0.0  565  68  68.2775969313  1.48302419949  0.143677789259
0.0  565  79  79.3393087733  1.4098557753  0.153610126478
0.0  565  90  90.4218050994  1.26527110296  0.160586322584
0.0  566  102  101.517071202  1.24475617154  0.0268627850415
0.0  566  113  112.792450367  1.57986387664  -0.00597324652753
0.0  567  124  124.137432096  1.61361635074  0.0937076559202
0.0  567  136  135.533319312  1.43024669883  0.00890618462674
0.0  568  147  146.952248208  1.6350368348  0.0196648111441
0.0  568  159  158.543807273  1.36944721846  -0.00112266815747
0.0  568  170  170.30672079  1.55339362752  0.146939080383
0.0  569  182  181.866248846  1.64272552278  -0.00953290797484
0.0  569  194  193.687204155  1.56414905479  -0.0408571051482
0.0  570  206  205.526822893  1.34706593539  0.0132978408679
0.0  570  218  217.512916106  1.30422904723  0.0145648667253
0.0  570  230  229.583709881  1.42954909929  0.00529009239077
0.0  571  242  241.619897162  1.46274325569  -0.0154178725649
0.0  571  254  253.885831026  1.6481814507  0.0230991520441
0.0  571  266  266.294489489  1.56897867979  0.131316803092
0.0  572  279  278.515812367  1.47663376826  0.022812921989
0.0  572  291  291.061514449  1.70390882996  0.0731261784228
0.0  572  304  303.607319051  1.58828225377  0.00284876538259
0.0  572  316  316.351176993  1.58221063598  0.0960133532253
0.0  573  329  328.960623233  1.72507048168  0.0372605076077
0.0  573  342  341.796848214  1.70294291692  0.00786629027991
0.0  573  355  354.723300553  1.68955562605  -0.0180687231612
0.0  573  368  367.767921917  1.7215663868  -0.0027650842224
0.0  573  381  380.846427273  1.58322533837  0.0122393873111
