# Band 2B   Etalon 1A   Slice 5
# Distortion map version 06.04.00 - date 2018-10-09
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness
0.0  760  11  11.450514269  1.79812861229  0.0181686606234
0.0  761  25  25.456640934  1.82785410717  0.0205834436408
0.0  761  40  39.554546476  1.83899486726  0.0112932767653
0.0  762  54  53.7925089284  1.89868114896  -0.0211619428826
0.0  763  68  68.2180823804  1.92362167232  0.00713893554667
0.0  763  83  82.6619116913  1.86923490212  -0.00712093489546
0.0  764  97  97.3353120644  1.93763846243  0.0114960532209
0.0  765  112  112.127717005  1.94072757778  0.0458241745269
0.0  765  127  126.966897858  1.95939386681  0.00994460556185
0.0  766  142  142.016345645  1.96870135208  0.027010823734
0.0  766  157  157.155253121  2.00762762394  0.0297894029191
0.0  767  172  172.459831613  1.89730715609  0.0373936984715
0.0  767  188  187.837893701  2.02106206581  -0.0117636323778
0.0  768  203  203.438137408  1.9845828616  0.00284905873917
0.0  768  219  219.137405409  2.13379426391  -0.0112445758651
0.0  769  235  234.963501909  2.18457029818  -0.0423815411652
0.0  769  251  250.949039622  2.19423548637  -0.0384609167729
0.0  770  267  267.128700247  2.26510543309  -0.018433159763
0.0  770  283  283.425578108  2.24512809628  0.00348647512051
0.0  770  300  299.849755957  2.34838722962  0.00213297201477
0.0  771  316  316.474222296  2.2360212607  0.0455466599489
0.0  771  333  333.225529429  2.36260970587  0.0496531403727
0.0  772  350  350.163900607  2.41669727557  0.0572612197038
0.0  772  367  367.22159462  2.42632156199  0.0433315635552
0.0  772  384  384.442359613  2.34695534809  0.0122926673303
0.0  772  402  401.789183584  2.5514448265  -0.0350414940529
0.0  773  419  419.375968372  2.61116205762  -0.0206676081844
0.0  773  437  437.095153242  2.71861261398  -0.0401591398352
0.0  773  455  454.955260647  2.79307863694  -0.044262723741
0.0  773  473  473.004281741  2.89516964574  -0.0313472376914
0.0  773  491  491.272314588  2.93734895043  0.0147894317579
0.0  773  510  509.668381374  3.0344081728  0.0275856917279
0.0  773  528  528.291496328  3.10950356457  0.0561872216317
0.0  773  547  547.062741985  3.22758599157  0.0441831228928
0.0  773  566  566.045441641  3.30796950781  0.0307749290343
0.0  773  585  585.20230594  3.50995104184  0.00849219603915
0.0  773  605  604.557932729  3.6129706645  -0.0316760008406
0.0  773  624  624.095386896  3.79989270385  -0.0357815591387
0.0  773  644  643.846836101  3.89752219114  -0.0488215336
0.0  772  664  663.779300708  4.03417105073  -0.0513212527654
0.0  772  684  683.896043542  4.09768151993  -0.0379414373221
0.0  772  704  704.191591713  4.24624639554  -0.0153240722308
0.0  772  725  724.672851107  4.47787899611  -0.000223660680608
0.0  771  745  745.393167045  4.63881676399  0.0228814443025
0.0  771  766  766.259964145  4.96587358512  0.0378597327715
0.0  770  787  787.402152595  5.47246481453  0.0403131386556
0.0  770  809  808.743281487  5.98632197281  0.0410332773963
