# Band 2C   Etalon 1A   Slice 1
# Distortion map version 06.04.00 - date 2018-10-09
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness
0.0  532  11  11.1075696272  6.17498146155  0.0139702750531
0.0  533  27  27.5839246639  6.6104294201  0.0172291073482
0.0  534  44  44.1454066105  6.80144565207  -0.010328018339
0.0  535  61  60.8618602999  7.04692708907  -0.0300856337534
0.0  535  78  77.7510549903  7.13583463136  -0.0380719388523
0.0  536  95  94.7263792798  7.27305151109  -0.0274944607819
0.0  537  112  111.797365762  7.48354519547  -0.0178416005308
0.0  537  129  129.11655468  7.76720054533  0.00422002518893
0.0  538  146  146.471280928  8.32474798036  0.0208593643864
0.0  539  164  163.982888325  8.69790597476  0.0160584182377
0.0  539  181  181.603067221  9.97928630514  0.0345242480337
0.0  540  199  199.370953763  10.850876628  0.0246528677603
0.0  540  217  217.355380614  12.2574947151  0.028547103964
0.0  541  235  235.448785479  14.3958780685  0.033104517666
0.0  541  254  253.57911442  16.5524145949  -0.00112579293068
0.0  542  272  272.215758024  18.9373792492  0.0171421927311
0.0  542  291  291.02744423  22.4234597831  0.0148916196555
0.0  542  310  310.24790663  0.3479458414  0.0196551426053
0.0  543  331  329.428062203  34.8437287358  -0.0448194922177
0.0  543  351  350.332884431  32.9268747899  -0.000837790044612
0.0  544  369  371.025107192  38.2805776717  0.0673175182829
0.0  544  391  390.582143402  25.8973699714  0.00753357653902
0.0  544  410  410.622638004  25.6021320015  0.0492788427709
0.0  544  431  430.455784005  20.8238684984  0.00722409885936
0.0  544  450  450.697829126  20.1731156141  0.0446336060982
0.0  545  471  470.733505717  18.4001527909  0.0114287166324
0.0  545  491  491.306097022  18.0332689575  0.033738410654
0.0  545  512  511.831364896  17.0146429164  0.0185508102345
0.0  545  533  532.701622912  16.7722344465  0.00827758146774
0.0  545  554  553.769247238  16.9608043146  0.0123836930043
0.0  545  575  575.146455933  18.3291305672  0.0246171096703
0.0  545  597  596.801489589  18.6934993495  0.0106789362856
0.0  545  619  618.834890611  20.599887007  0.0115903570845
0.0  544  641  641.491812453  24.177594453  0.0279395306253
0.0  544  665  664.349956483  26.1958824665  0.00875500560582
0.0  544  688  688.414097469  30.4755062192  0.0321769681957
0.0  544  712  713.115599963  0.457241673039  0.0547064518169
0.0  543  736  738.06457722  0.901627661032  0.0834790768846
0.0  543  761  762.401578595  25.4985790012  0.0527039104363
0.0  542  786  787.046326822  22.0749965937  0.0306879806362
0.0  542  811  811.631998718  19.0531015537  0.0193391277244
0.0  541  836  836.813951955  17.2943954454  0.020517651034
0.0  540  862  862.058458123  15.1917109859  0.00394917714431
0.0  540  887  887.636129715  14.3030603717  0.0164549907575
0.0  539  913  913.581058053  13.2408506076  0.0292951167517
0.0  538  940  939.859093439  12.1388837561  0.00374705186682
0.0  537  966  966.729804847  12.6675088642  0.029584972891
0.0  536  994  993.68837786  12.3801242528  0.0189889547528
-1.81735814079  542  11  10.6109601576  5.83385530326  0.00832005611996
-1.81735814079  543  27  27.1187741712  6.37242867945  -0.00510192564017
-1.81735814079  544  44  43.6121143966  6.65972734305  -0.0487812262832
-1.81735814079  545  60  60.4588573139  7.12169650874  0.0114839810163
-1.81735814079  545  77  77.1996373631  6.68928985633  0.00899562865302
-1.81735814079  546  94  94.245398888  7.32495616109  -0.016163784313
-1.81735814079  547  111  111.407945137  7.92313521875  0.0124976045136
-1.81735814079  547  129  130.909067881  0.0749378377757  10.6579451805
-1.81735814079  548  146  145.890227898  8.28282101292  -0.00346828336818
-1.81735814079  549  163  163.533006272  10.170481702  0.0497630947545
-1.81735814079  549  181  181.029398584  10.1076453811  0.0122363898134
-1.81735814079  550  199  198.865130443  11.1199945324  -0.0197956642123
-1.81735814079  550  217  216.82383965  12.2456212119  0.0334587172794
-1.81735814079  551  235  235.080184207  14.1572368148  -0.00923521552628
-1.81735814079  551  253  253.392846423  15.9257041183  0.0497947991576
-1.81735814079  552  272  272.145088173  18.1418929535  -0.0178278540067
-1.81735814079  552  291  290.62464947  22.2033394961  -0.00880050688457
-1.81735814079  553  310  309.425421529  0.84528203689  0.0633236845563
-1.81735814079  553  329  329.705394243  28.7354712479  0.0156688048313
-1.81735814079  553  349  349.927288199  0.696281200284  0.0787513316628
-1.81735814079  554  369  369.926702333  29.5022865191  0.0120862998847
-1.81735814079  554  389  389.714536322  27.3527452307  0.028385757838
-1.81735814079  554  409  409.646210904  25.0220944495  0.0390805275589
-1.81735814079  554  429  429.378873039  0.331082432461  0.104144500875
-1.81735814079  555  449  449.886579091  21.9211996618  0.0342518736071
-1.81735814079  555  470  469.82300079  20.3557376625  0.0116301311472
-1.81735814079  555  490  490.268037172  19.3191464052  0.0337149086716
-1.81735814079  555  511  510.827266466  18.2504597169  0.0123309479574
-1.81735814079  555  532  531.694668204  18.2186979125  0.0169868635589
-1.81735814079  555  553  552.7958379  18.0403112654  0.015215586222
-1.81735814079  555  574  574.079817647  19.3308491572  0.025612358815
-1.81735814079  555  596  595.846539899  19.6795044923  0.0204785585817
-1.81735814079  555  618  617.897216673  21.0742235374  0.0225476053241
-1.81735814079  555  640  640.347100579  22.6481024219  0.0464242102898
-1.81735814079  554  663  663.856199275  28.4483625719  0.0464008720059
-1.81735814079  554  688  687.301490018  0.299021585222  -8.54991661289
-1.81735814079  554  711  710.900458941  29.2242912534  0.0578973491319
-1.81735814079  553  736  736.069648007  0.272751388461  -0.023134311572
-1.81735814079  553  760  760.205801221  23.180067106  0.0434679615101
-1.81735814079  552  785  785.840357819  18.0185869591  0.00330842161232
-1.81735814079  552  810  809.452947164  18.1232227579  0.017657719899
-1.81735814079  551  835  834.955276112  16.5351483315  -0.00404735001424
-1.81735814079  550  863  864.924990782  0.296334940586  11.038308397
-1.81735814079  550  886  885.728778939  14.8458614136  0.0167184512005
-1.81735814079  549  912  911.72619718  13.2839437033  0.0336359362982
-1.81735814079  548  938  938.285720109  12.5138323981  0.0120558944945
-1.81735814079  547  965  965.049125423  12.1918737159  0.0172913340203
-1.81735814079  546  992  992.199445284  12.3344185226  0.027024465061
-1.81735814079  545  1020  1022.23782647  36.9987885845  43.2125524834
-1.65565814079  542  11  10.6958546187  6.19794592299  -0.00811308521788
-1.65565814079  542  27  27.1595955262  6.56637319729  0.00566854064956
-1.65565814079  543  44  43.6922880147  6.73520217016  -0.0299867180963
-1.65565814079  544  60  60.4688003947  6.91660642125  -0.00520300330393
-1.65565814079  544  77  77.266103073  7.17335956188  -0.0154232486953
-1.65565814079  545  94  94.3142330139  7.28114946864  -0.00772465504496
-1.65565814079  546  111  111.383636502  7.48726836308  0.00166501020416
-1.65565814079  546  128  128.584807935  8.05154740852  0.0184132024323
-1.65565814079  547  146  145.957253367  8.11191101665  0.00324499467544
-1.65565814079  548  163  163.373542686  9.08297636949  0.0206150492503
-1.65565814079  548  181  181.065154562  9.84040347166  0.0195010102057
-1.65565814079  549  199  198.748181114  10.9814200237  0.00331325272608
-1.65565814079  549  217  216.695822379  12.5574725169  7.32742999385e-05
-1.65565814079  550  235  234.842981556  14.5382450598  0.00901275212725
-1.65565814079  550  253  253.193507174  16.2815620116  0.0242657238487
-1.65565814079  551  272  271.715111549  18.6425398185  0.000203454617568
-1.65565814079  551  291  290.420264488  22.4195127571  -0.00627163200869
-1.65565814079  552  310  309.599557841  26.3526172956  -0.00096635247933
-1.65565814079  552  329  329.502789744  0.393285827901  0.0298666112357
-1.65565814079  552  349  349.427321462  0.441888491264  0.0436489463279
-1.65565814079  553  370  369.429935629  30.2146134968  0.00418673384035
-1.65565814079  553  390  389.37559052  25.7991334477  -0.00574353659812
-1.65565814079  553  409  409.892005081  0.331497083271  0.0559693940191
