# Band 2C   Etalon 1B   Slice 2
# Distortion map version 06.04.00 - date 2018-10-09
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness        wavelength
0.0  591  6  6.2701799067  1.65628845749  0.0147935350381  9.91593400567
0.0  592  21  20.5080798954  1.62809087858  0.00402453376047  9.94298796129
0.0  593  35  34.8646663472  1.71514594883  0.0154155749819  9.97019593607
0.0  593  49  49.4125155659  1.73253394628  0.0378769617186  9.99756098643
0.0  594  64  64.0220696296  1.80309447003  0.0214921310718  10.0250791501
0.0  595  79  78.7693871802  1.75459337725  0.00122197985129  10.05274428
0.0  595  94  93.685343403  1.76874748861  -0.00490877125296  10.0805224765
0.0  596  109  108.720404477  1.73805167991  -0.0180327890596  10.1084975127
0.0  596  124  123.903325268  1.78303275635  -0.0371245982061  10.1366142309
0.0  597  139  139.250082689  1.80716293024  -0.0113894464462  10.1648755452
0.0  598  155  154.68539345  1.70732882151  -0.0296128470884  10.1933086648
0.0  598  170  170.308148522  1.76427575397  -0.0116314169547  10.2219040545
0.0  599  186  186.021282698  1.78406907401  -0.0374021244304  10.2506555366
0.0  599  202  201.930177282  1.77900700042  -0.0320944314297  10.2795910303
0.0  600  218  217.933561769  1.77998739903  -0.0439581527951  10.3086655119
0.0  600  234  234.180324411  1.78952048716  0.0230321424161  10.3379324369
0.0  600  251  250.527953147  1.74481790801  0.0401672237868  10.3673319743
0.0  601  267  266.962601991  1.84358653707  0.0299551887629  10.3969002121
0.0  601  284  283.595150632  1.81014729742  0.0277939584809  10.4266428233
0.0  602  300  300.373042216  1.84149434467  0.0502792477938  10.4565548558
0.0  602  317  317.325408225  1.86292091644  0.0250242475303  10.4866526634
0.0  602  334  334.451225285  1.82828957535  0.0263258852208  10.5169203994
0.0  603  352  351.688432531  1.81359544001  0.00896561631294  10.5473467563
0.0  603  369  369.151058755  1.85929634992  0.00517587994985  10.577965846
0.0  603  387  386.752671453  1.83860406649  -0.0065921459678  10.6087574663
0.0  603  405  404.624946775  1.75084992325  0.0132253342831  10.6397379516
0.0  604  422  422.495939389  1.80798339372  0.0218904857483  10.6708972047
0.0  604  441  440.591230559  1.80869790401  -0.0279835576773  10.702228954
0.0  604  459  458.922436688  1.84699614976  -0.0217873422129  10.7337198932
0.0  604  477  477.438033397  1.81421414574  -0.000765370026058  10.7654214739
0.0  604  496  496.126013296  1.8642259201  0.00757827209642  10.797301172
0.0  604  515  514.992383364  1.87213288276  0.00268679144475  10.8293935284
0.0  604  534  534.047445504  1.89706101029  0.0299245986941  10.8616660023
0.0  604  553  553.29425776  1.86330792115  0.0443760359751  10.8941273142
0.0  604  573  572.68857959  1.91280317642  0.0141947731559  10.9268139676
0.0  604  592  592.349088099  1.89308334593  0.0529320835225  10.9596672272
0.0  604  612  612.153450772  1.92955725973  0.0414819855572  10.9927167733
0.0  604  632  632.202541316  1.94609506483  0.0532271103119  11.0259428426
0.0  604  652  652.417481876  1.89271669112  0.0346983341365  11.0593897254
0.0  604  673  672.837851516  1.98409593301  0.00577990339619  11.093029502
0.0  603  694  693.573610243  1.95871017792  0.0132529654079  11.1268989323
0.0  603  714  714.461556415  1.9743840357  0.0186818672506  11.1609739185
0.0  603  736  735.542835432  1.98060848895  0.00320990887927  11.1952482975
0.0  602  757  756.940968869  2.02616709598  0.00123601192677  11.2297477901
0.0  602  778  778.460073127  1.96403337252  0.00167779125637  11.2644576341
0.0  601  800  800.348135294  1.98666651071  0.0262007223053  11.2993458912
0.0  601  822  822.319629385  1.97736573238  0.0178066882638  11.3344687089
0.0  600  845  844.619174777  1.97400057607  -0.00377763081007  11.3698154352
0.0  600  867  867.112082946  2.047451729  0.033367929402  11.4053622505
0.0  599  890  889.898004893  2.07516901756  0.020178484638  11.4411689386
0.0  598  913  912.949005217  2.0532896986  0.0167994423147  11.4771864664
0.0  597  936  936.315615046  2.02697304171  0.0411698022151  11.5134413846
0.0  597  960  959.787168124  2.27864213707  -0.00728096376193  11.5498994847
0.0  596  984  983.589399252  2.08909512218  0.00831009818279  11.5865753774
0.0  595  1008  1007.67072164  2.13481464288  0.00134424057706  11.6235107252
-1.8163683841  601  6  6.08734865327  1.69074412307  0.0126492371376  9.91593400567
-1.8163683841  602  20  20.34456535  1.65131798997  0.0334813097549  9.94298796129
-1.8163683841  602  35  34.6798742449  1.6916813499  0.0249658134496  9.97019593607
-1.8163683841  603  49  49.1896550578  1.75709431024  0.0346952394532  9.99756098643
-1.8163683841  604  64  63.7885634411  1.74637449669  0.00883419498595  10.0250791501
-1.8163683841  604  79  78.5560729408  1.74346617955  0.0293718528675  10.05274428
-1.8163683841  605  93  93.4464695991  1.7636291369  0.0220278096884  10.0805224765
-1.8163683841  606  108  108.463474509  1.70528712728  0.00698219198898  10.1084975127
-1.8163683841  606  124  123.633446686  1.73649337021  -0.00866235585103  10.1366142309
-1.8163683841  607  139  138.905145548  1.75001239302  -0.0365377844303  10.1648755452
-1.8163683841  607  154  154.405025054  1.73247668586  0.00266813684564  10.1933086648
-1.8163683841  608  170  169.937742626  1.77606530358  -0.0347769153277  10.2219040545
-1.8163683841  608  186  185.680089524  1.74171478349  -0.0375730773685  10.2506555366
-1.8163683841  609  202  201.553199864  1.71519494698  -0.0168317363892  10.2795910303
-1.8163683841  609  218  217.593667061  1.73697439077  0.00121902203446  10.3086655119
-1.8163683841  610  234  233.737252835  1.73804596645  0.00450377901802  10.3379324369
-1.8163683841  610  250  250.080453215  1.80189541862  0.0422029863601  10.3673319743
-1.8163683841  611  267  266.509706064  1.77102366057  0.0370315398263  10.3969002121
-1.8163683841  611  283  283.130545705  1.84982641246  0.0325246936912  10.4266428233
-1.8163683841  611  300  299.918303531  1.84711811184  0.0296208785619  10.4565548558
-1.8163683841  612  317  316.798793804  1.82154861653  0.0053937321765  10.4866526634
-1.8163683841  612  334  333.927487755  1.84499386817  0.017901612032  10.5169203994
-1.8163683841  612  351  351.21289247  1.83290783621  0.0199239071473  10.5473467563
-1.8163683841  613  369  368.571517066  1.79219042708  0.00261466560718  10.577965846
-1.8163683841  613  386  386.186992376  1.82853582743  0.00950957452479  10.6087574663
-1.8163683841  613  404  403.950337751  1.85323668964  -0.00223119601734  10.6397379516
-1.8163683841  613  422  421.912908352  1.84530833365  0.00550657654702  10.6708972047
-1.8163683841  614  440  439.971635551  1.85079920294  0.00944455450136  10.702228954
-1.8163683841  614  458  458.282602208  1.79352966762  0.028766140423  10.7337198932
-1.8163683841  614  477  476.743452096  1.85605649234  -0.00487538689586  10.7654214739
-1.8163683841  614  495  495.414242165  1.80623641976  0.0194215166221  10.797301172
-1.8163683841  614  514  514.261746585  1.83742534904  0.0258527814479  10.8293935284
-1.8163683841  614  533  533.29445962  1.84789909736  0.0410640154706  10.8616660023
-1.8163683841  614  552  552.494455804  1.83890851059  0.0209255775357  10.8941273142
-1.8163683841  614  572  571.919771026  1.91881189518  0.0301624585783  10.9268139676
-1.8163683841  614  592  591.513211216  1.87663361326  0.0252602219704  10.9596672272
-1.8163683841  614  611  611.330163821  1.90449084009  0.0435605731336  10.9927167733
-1.8163683841  614  631  631.33661365  1.89566308706  0.0438609424549  11.0259428426
-1.8163683841  614  652  651.549392146  1.92930624402  0.0310270566882  11.0593897254
-1.8163683841  613  672  672.033237819  1.95823540595  0.0318622092862  11.093029502
-1.8163683841  613  693  692.649940659  1.92791345132  0.00768111388365  11.1268989323
-1.8163683841  613  714  713.508512588  1.95485995105  0.00965095667995  11.1609739185
-1.8163683841  612  735  734.660268974  1.97599143071  0.00280945683188  11.1952482975
-1.8163683841  612  756  755.941387527  2.00568239316  0.00204021713497  11.2297477901
-1.8163683841  612  777  777.451119314  1.95501092708  0.0153952372535  11.2644576341
-1.8163683841  611  799  799.285752353  1.98660510872  0.0174806780917  11.2993458912
-1.8163683841  611  821  821.248082128  1.97787981641  0.0278354368992  11.3344687089
-1.8163683841  610  844  843.523833063  1.95956255001  0.0067425330679  11.3698154352
-1.8163683841  609  866  866.077668432  2.04373055367  0.0410717071786  11.4053622505
-1.8163683841  609  889  888.740864118  2.03407766268  0.0152101132233  11.4411689386
-1.8163683841  608  912  911.739690479  2.03454900996  -0.00354010459792  11.4771864664
-1.8163683841  607  935  935.085256959  2.09076128506  0.0414652260442  11.5134413846
-1.8163683841  606  959  958.621618241  2.08612302813  0.0138797376952  11.5498994847
-1.8163683841  605  982  982.431440211  2.0983475907  -0.000760164826389  11.5865753774
-1.8163683841  604  1007  1006.50700048  2.15862048882  0.017266195092  11.6235107252
-1.6384983841  600  6  6.1023365552  1.68251997999  0.00497998129231  9.91593400567
-1.6384983841  601  20  20.3610076311  1.63592135413  0.0462359348126  9.94298796129
-1.6384983841  601  35  34.7032008456  1.69298113841  0.0209388062862  9.97019593607
-1.6384983841  602  49  49.2158038083  1.74383929807  0.0374892986442  9.99756098643
-1.6384983841  603  64  63.8196113548  1.75008957424  0.0345967655391  10.0250791501
-1.6384983841  603  79  78.5769796007  1.74459416253  0.0226509807521  10.05274428
-1.6384983841  604  93  93.4802511967  1.7483676359  0.0277919168795  10.0805224765
-1.6384983841  605  108  108.488485344  1.72550098598  0.00511152808415  10.1084975127
-1.6384983841  605  124  123.658358663  1.73665980428  -0.0119479575575  10.1366142309
-1.6384983841  606  139  138.945801198  1.7636865507  -0.0249116400352  10.1648755452
-1.6384983841  606  154  154.438612339  1.73799102596  0.00380095374966  10.1933086648
-1.6384983841  607  170  169.97973744  1.76255068039  -0.0254527693285  10.2219040545
-1.6384983841  607  186  185.706547934  1.72759123215  -0.0380680356549  10.2506555366
-1.6384983841  608  202  201.589325958  1.71670109005  -0.0170507663069  10.2795910303
-1.6384983841  608  218  217.62211691  1.72904736677  -0.0104857141118  10.3086655119
-1.6384983841  609  234  233.773401842  1.75833790281  0.00412578512613  10.3379324369
-1.6384983841  609  250  250.133694736  1.79108498255  0.0548391420689  10.3673319743
-1.6384983841  610  267  266.552972618  1.76710425971  0.0464625953423  10.3969002121
-1.6384983841  610  283  283.184643366  1.83448781587  0.04650992892  10.4266428233
-1.6384983841  610  300  299.963842219  1.84911857813  0.0549801755938  10.4565548558
-1.6384983841  611  317  316.848757684  1.81818497046  0.0141094261584  10.4866526634
-1.6384983841  611  334  333.979316334  1.85983750026  0.0230611996993  10.5169203994
-1.6384983841  611  351  351.252122068  1.82892868683  0.0117420462751  10.5473467563
-1.6384983841  612  369  368.61585304  1.80502172002  -0.00081570161219  10.577965846
-1.6384983841  612  386  386.248878749  1.83015591846  0.0206823360073  10.6087574663
-1.6384983841  612  404  404.019996237  1.86473023348  0.00413966401066  10.6397379516
-1.6384983841  612  422  421.964581149  1.85288773273  0.0143966665978  10.6708972047
-1.6384983841  613  440  440.028492497  1.8515532281  0.00286546558262  10.702228954
-1.6384983841  613  458  458.339814287  1.7743468945  0.0214164712234  10.7337198932
-1.6384983841  613  477  476.790236963  1.8348809761  -0.0210956819324  10.7654214739
-1.6384983841  613  495  495.48247323  1.81847024156  0.0216954368484  10.797301172
-1.6384983841  613  514  514.335661516  1.81687299975  0.0366202505836  10.8293935284
-1.6384983841  613  533  533.370748247  1.83847388142  0.0401780764013  10.8616660023
-1.6384983841  613  553  552.573180475  1.81384636682  0.0302654492531  10.8941273142
-1.6384983841  613  572  572.004863888  1.92366528304  0.0507645256656  10.9268139676
-1.6384983841  613  592  591.573524061  1.86900260257  0.0130441039123  10.9596672272
-1.6384983841  613  611  611.412633063  1.89341943518  0.0409787898735  10.9927167733
-1.6384983841  613  631  631.416271902  1.88961947702  0.0436068240138  11.0259428426
-1.6384983841  613  652  651.615785396  1.96067979914  0.0153109673552  11.0593897254
-1.6384983841  612  672  672.135232204  1.95646780628  0.0474147617568  11.093029502
-1.6384983841  612  693  692.743167404  1.97004044511  0.00769543842553  11.1268989323
-1.6384983841  612  714  713.585880541  1.96909961004  0.00742667476618  11.1609739185
-1.6384983841  611  735  734.702906077  2.02333434791  0.00394355108969  11.1952482975
-1.6384983841  611  756  756.043592269  2.0128925178  0.0181939063075  11.2297477901
-1.6384983841  611  778  777.53146291  1.965699194  0.000988880336638  11.2644576341
-1.6384983841  610  799  799.388667715  1.97997609165  0.0161252938122  11.2993458912
-1.6384983841  610  821  821.349981221  1.99440850016  0.0262951154931  11.3344687089
-1.6384983841  609  844  843.628491967  1.97982145507  0.00727547038031  11.3698154352
-1.6384983841  608  866  866.223441538  1.98279047357  0.11335152113  11.4053622505
-1.6384983841  608  889  888.841257124  2.05053573096  0.0133498948679  11.4411689386
-1.6384983841  607  912  911.865837911  2.04253310684  0.0187259291625  11.4771864664
-1.6384983841  606  935  935.197148084  2.09202677944  0.037165922176  11.5134413846
-1.6384983841  605  959  958.757574059  2.07679749995  0.0191657002194  11.5498994847
-1.6384983841  604  983  982.556901629  2.17533253953  0.0572142173725  11.5865753774
-1.6384983841  603  1007  1006.57909657  2.19279826441  0.00154784725271  11.6235107252
-1.4606283841  599  6  6.12292398597  1.68596077119  0.00637129126269  9.91593400567
-1.4606283841  600  20  20.3796725496  1.64053373637  0.0522470680136  9.94298796129
-1.4606283841  600  35  34.713302915  1.6495666812  0.029513106377  9.97019593607
-1.4606283841  601  49  49.2332310379  1.73729204614  0.0292511632321  9.99756098643
-1.4606283841  602  64  63.8326328331  1.76552747241  0.028728559781  10.0250791501
-1.4606283841  602  79  78.5991846404  1.75660969818  0.0250243655312  10.05274428
-1.4606283841  603  93  93.4966996976  1.74591079155  0.0226768039581  10.0805224765
