# Band 1B   Etalon 1B   Slice 6
# Distortion map version 06.04.00 - date 2018-10-10
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness
0.0  261  6  6.2322355644  8.3166770849  0.124978787462
0.0  261  14  14.0215940612  8.97701529638  0.0701535322348
0.0  261  22  21.8817964401  10.0452992198  0.0350011788136
0.0  261  30  29.6807622086  9.44927929528  -0.00885922327361
0.0  261  37  37.9616941681  0.314369344698  0.171055057024
0.0  261  45  45.8532702354  0.34632998899  0.153587685707
0.0  261  53  53.7547963654  0.391357684265  0.133214776743
0.0  261  61  61.6827204779  0.402745282927  0.129111261166
0.0  262  70  69.3785448059  16.9277409686  -0.0251664737465
0.0  262  78  77.5230337309  17.0236911999  0.0296920934948
0.0  262  86  85.4879423875  17.3508968039  0.062943606423
0.0  262  94  93.9338603314  17.3288563517  0.151257666836
0.0  262  102  102.148595679  0.346918607004  0.158904167607
0.0  262  110  110.63494339  0.347039851539  0.154510868507
0.0  262  119  118.915994199  0.175673621263  0.124207932834
0.0  262  127  127.525818106  0.290490465559  0.199861832692
0.0  262  136  136.024954741  11.3508711946  0.137664183667
0.0  262  144  144.723323882  0.262893792958  0.222228269708
0.0  262  153  153.244935379  0.146650933016  0.129792781103
0.0  263  162  161.846147286  10.9854685301  0.0631334247813
0.0  263  170  170.686553501  0.279038961898  0.21379705919
0.0  263  179  179.212381401  11.3836172994  0.126237602176
0.0  263  188  187.664434137  11.6627495251  0.0118383580462
0.0  263  196  196.538992785  0.300117189056  0.194168996664
0.0  263  205  205.223766878  0.419254917026  0.187786807866
0.0  263  213  213.832038034  0.32534949387  0.163544956784
0.0  263  222  222.32672623  13.3372133665  0.19128675867
0.0  263  231  231.011656657  11.7594240707  0.142123914555
0.0  263  240  239.897295316  10.759298053  0.116155899041
0.0  263  249  248.808066888  9.72343748979  0.102681067157
0.0  263  258  257.889365643  9.02697132605  0.112079234906
0.0  264  267  267.137616701  8.56142698574  0.136339724307
0.0  264  276  276.336300436  8.33340564054  0.156587403544
0.0  264  285  285.679814439  0.144582627456  0.193799107904
0.0  264  295  294.593507475  8.39633713969  -0.00159654998566
0.0  264  304  304.008864929  8.68093658071  0.076994982545
