# Band 1C   Etalon 1A   Slice 15
# Distortion map version 06.04.00 - date 2018-10-04
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness
0.0  330  4  3.8922072817  1.40674186689  -0.12596749003
0.0  331  14  14.2378945496  1.50462264494  0.194286492648
0.0  331  24  24.4693352294  1.1691929007  0.109861339334
0.0  331  35  34.6602267106  1.23547514757  -0.0541602205922
0.0  331  45  45.1199001459  1.42468834159  0.0770454814082
0.0  331  56  55.5079688655  1.16199393293  -0.0375276420021
0.0  331  66  66.0070257124  1.49469101678  0.0106999569866
0.0  331  77  76.5544346768  1.18052799334  -0.0058751329467
0.0  332  87  87.3767894284  1.3947437642  0.072597107231
0.0  332  98  98.0640052989  1.5139108494  0.077496300636
0.0  332  109  108.794553954  1.47584101896  -0.0178917430307
0.0  332  120  119.645314834  1.29487348882  -0.0326383169577
0.0  332  131  130.596981438  1.2852803223  0.0377626646436
0.0  332  142  141.60836223  1.22936825033  -0.0233912856174
0.0  332  153  152.682177925  1.3963427428  -0.0358717392186
0.0  332  164  163.884973399  1.51684374913  0.0487728691132
0.0  333  175  175.274010045  1.49151955077  0.0481677764013
0.0  333  187  186.534396408  0.983409471976  0.151822924294
0.0  333  198  197.921336213  1.59065685949  0.00602348550967
0.0  333  209  209.441756832  1.36096637841  0.0220364801177
0.0  333  221  220.952129337  1.6050567354  -0.00950381958012
0.0  333  233  232.580254536  1.39969761135  -0.0226262044101
0.0  333  244  244.37010885  1.51899004686  0.0702958750128
0.0  333  256  256.173473169  1.62397176967  0.0906782940348
0.0  333  268  268.035823726  1.65629050477  0.0546880821383
0.0  334  280  280.108645725  1.61249553892  0.0636205619388
0.0  334  292  292.200858572  1.58082292174  0.130356208438
0.0  334  304  304.352275258  1.49445481569  0.11790912032
0.0  334  317  316.522986544  1.29002640395  -0.00518402696446
0.0  334  329  328.844184664  1.64408156437  -0.0068156863486
0.0  334  341  341.334976565  1.5905250537  0.0529077756452
0.0  334  354  353.758309621  1.61840893391  -0.0665793486697
0.0  334  366  366.43228308  1.50221698398  0.0484071687555
0.0  334  379  379.095207049  1.74994576134  -0.0183445902667
0.0  334  392  391.86100672  1.69512833511  -0.0324503504244
0.0  334  405  404.736163146  1.70398416823  -0.0299186230876
0.0  334  418  417.719805328  1.65995627015  -0.0320027147532
0.0  334  431  430.785571383  1.70789424303  -0.00515975714342
0.0  334  444  444.002304984  1.72015712957  0.0576967961716
0.0  334  457  457.314331624  1.67195367524  0.0847915290691
0.0  334  471  470.637232843  1.58837226149  -0.026094241
0.0  334  484  484.184118711  1.69481613082  0.0701927481402
0.0  334  498  497.687444029  1.6040291608  -0.0736851823518
0.0  334  511  511.457592694  1.60099497029  0.00120864120097
0.0  334  525  525.273157265  1.76053947977  0.040517862518
0.0  334  539  539.152090543  1.81425676067  -0.00498088150615
0.0  334  553  553.158640733  1.81367773052  -0.00273939997896
0.0  334  567  567.304653491  1.78458629848  0.0474351805269
0.0  334  582  581.502713807  1.7132447383  0.028980508582
0.0  334  596  595.803266928  1.7601578792  -0.00885479388401
0.0  334  610  610.332914701  1.6950251745  0.0984506087556
0.0  334  625  624.849683734  1.82534165022  -0.0211022209573
0.0  334  640  639.572278159  1.60725134934  -0.0260187869342
0.0  334  654  654.434635212  1.6707790473  0.0295303034336
0.0  334  669  669.389855468  1.77814819816  0.00629462693629
0.0  334  684  684.427644038  1.73215257368  0.004573246877
0.0  334  700  699.58418769  1.76330016115  -0.0323113513425
0.0  334  715  714.859714885  1.90355695889  -0.0449234083456
0.0  334  730  730.319298615  1.84498207329  0.0387099483459
0.0  334  746  745.823408848  1.88861571157  0.0155510644419
0.0  334  762  761.516370639  1.78266907003  0.0341331337969
0.0  334  777  777.357891143  1.79009479236  0.0902917900824
0.0  334  793  793.345323779  1.79979158468  0.0998554511281
0.0  333  809  809.391115444  1.79294187025  0.0414396435792
0.0  333  826  825.574397639  1.75020342046  -0.0446505652615
0.0  333  842  841.978920755  1.92884912268  -0.0118659719431
0.0  333  858  858.492202046  1.82217993896  -0.0444371456347
0.0  333  875  875.179522212  1.99429169355  0.0150835666411
0.0  333  892  891.950884418  1.9838906618  0.0041734646929
0.0  332  909  908.844427202  1.91683916617  -0.0284024302081
0.0  332  926  925.927233424  1.94474699086  0.0327706236239
0.0  332  943  943.17553638  1.97602968518  0.0842788786001
0.0  332  961  960.539300422  1.7867733429  0.0281441261795
0.0  332  978  978.158641099  1.92467992842  0.0885023699555
0.0  331  996  995.826063058  1.9482648481  0.0202382236975
0.0  331  1014  1013.73381049  1.90132915323  -0.0394967767887
-1.36820588344  323  3  3.22957211547  1.54196509665  -0.037694983521
-1.36820588344  323  13  13.4537095787  1.18295890586  0.185571804063
-1.36820588344  324  24  23.6767475321  1.2745451258  -0.0230016115002
