# Band 1C   Etalon 1A   Slice 21
# Distortion map version 06.04.00 - date 2018-10-04
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness        wavelength
0.0  51  9  8.98619044832  1.63295947985  0.0186542234519  6.25222559357
0.0  51  19  19.4892376666  1.28217496542  0.0317200564061  6.26461851394
0.0  51  30  30.0800461176  1.61994188886  0.0466387904093  6.27706688306
0.0  51  41  40.6452165895  1.43514769593  -0.112716419817  6.28956276837
0.0  52  51  51.3915325075  1.46558231709  0.0815100986014  6.30210239401
0.0  52  62  62.1569758606  1.57908886009  0.0590126454865  6.31469608539
0.0  52  73  72.989661394  1.63298490967  -0.006949844716  6.32733953543
0.0  52  84  83.9360195381  1.58786472337  0.0209554501132  6.34003274946
0.0  52  95  94.9604032967  1.62874890548  0.0399698965672  6.35277830052
0.0  52  106  106.072077981  1.64044082895  0.0625384806645  6.36557423153
0.0  52  117  117.27603179  1.54607875229  0.1495233253  6.37843079615
0.0  52  128  128.470835221  1.25336052892  0.112836326328  6.39133063869
0.0  53  140  139.627967204  1.45324088207  -0.0515458133073  6.40428153139
0.0  53  151  151.101412443  1.6429319323  0.0930923723071  6.41728807798
0.0  53  163  162.515007225  1.28234825086  0.0165319419389  6.43034248979
0.0  53  174  174.084771531  1.65223095606  0.00313878096088  6.44345303523
0.0  53  186  185.652527324  1.49176000485  -0.0416643863419  6.45661957986
0.0  53  197  197.436475241  1.41439836571  0.070812170319  6.46983964678
0.0  53  209  209.225762082  1.62734154478  0.0259778375698  6.48311848993
0.0  53  221  221.101574869  1.64285310773  0.0531523988037  6.4964460364
0.0  53  233  233.066666045  1.65830597024  0.0469856839703  6.5098254984
0.0  53  245  245.116450363  1.67279511633  0.0454188656287  6.52326102087
0.0  53  257  257.274565368  1.5937125959  0.113151385388  6.53675493901
0.0  54  269  269.388803395  1.53697095334  0.112163466139  6.55029945534
0.0  54  282  281.585488297  1.52559830038  -0.0187431140142  6.56390819317
0.0  54  294  294.067741475  1.6780158723  0.102024539326  6.57756703028
0.0  54  307  306.509796908  1.33467773022  0.0840762910283  6.5912871679
0.0  54  319  319.103227675  1.70581092255  0.0780921385323  6.60506791321
0.0  54  332  331.684501297  1.55371497741  -0.00120145028861  6.61890113393
0.0  54  344  344.476686669  1.42008451276  0.0763099773394  6.63278953622
0.0  54  357  357.35221685  1.60462024642  0.075167924325  6.64674077263
0.0  54  370  370.28760914  1.62290032144  0.0869833174609  6.66075002516
0.0  54  383  383.324516904  1.64221393162  0.0712554443835  6.67482232275
0.0  54  396  396.428224824  1.58570587926  0.0414893602844  6.68894572978
0.0  54  410  409.626910097  1.61728044702  0.0101821534929  6.70313776172
0.0  54  423  422.962614283  1.75144739778  0.0234002961435  6.71738967196
0.0  54  436  436.42080835  1.62191917786  0.0575483296504  6.73169621829
0.0  54  450  449.933379647  1.73683163342  0.0419393301115  6.74606161077
0.0  54  464  463.552657564  1.63864061335  0.0485674073027  6.76049190455
0.0  54  477  477.321952324  1.69898842602  0.104519387404  6.77498654679
0.0  54  491  491.133658001  1.75312862717  0.0793845273339  6.7895408646
0.0  54  505  505.06877852  1.75727127409  0.0803137416414  6.80415817311
0.0  54  519  519.114188174  1.76615028491  0.061236397361  6.81883700811
0.0  54  533  533.293259314  1.70564002668  0.0719375871716  6.83358450976
0.0  54  548  547.538185494  1.54775176465  0.0383008386439  6.84839030075
0.0  54  562  561.896946699  1.77350210896  0.000809021368872  6.8632668863
0.0  54  576  576.408566061  1.67610647816  0.0315931861066  6.87820158648
0.0  54  591  591.003707007  1.82999102934  0.0119935951931  6.89320016564
0.0  54  606  605.719681006  1.74624706914  0.0122917061921  6.90826851953
0.0  54  621  620.547924354  1.69617579911  0.0213639570076  6.92340304869
0.0  54  635  635.498191108  1.69150357639  0.0508867180596  6.93860195257
0.0  54  651  650.534767604  1.68213114372  0.01475990162  6.95387039624
0.0  54  666  665.706231489  1.76280852272  0.000138329822657  6.96920700611
0.0  54  681  681.057520882  1.8548675301  0.0728357322983  6.9846032436
0.0  54  696  696.481871929  1.51007349971  0.0662757406179  7.00007028991
0.0  54  712  712.016956251  1.81922844038  -0.00257671883308  7.01561293846
0.0  54  728  727.684900687  1.73574407449  -0.0269463924067  7.03121967752
0.0  54  744  743.537669475  1.85578471127  0.0352829337721  7.04689365171
0.0  54  759  759.496130196  1.73776450842  0.0216909308046  7.06264134986
0.0  54  776  775.566100712  1.78736476395  0.0104494575576  7.07845463378
0.0  54  792  791.753953491  1.83391397237  0.00379499596944  7.09434363212
0.0  54  808  808.218688071  1.99262725079  0.0690739646061  7.11030329506
0.0  53  825  824.709106404  1.85817587957  0.0117305731767  7.12633316121
0.0  53  841  841.392796954  1.74657327931  0.127924173991  7.14243843801
0.0  53  858  858.134615997  1.89021297768  0.0470227066546  7.15861469701
0.0  53  875  875.036756774  1.91751598085  0.0267173314335  7.17486214559
0.0  53  892  892.142599157  1.90197504114  0.0583031192326  7.19118272919
0.0  53  909  909.353815883  1.8335254947  0.0238059980605  7.20758141666
0.0  53  927  926.654257975  1.83106226812  -0.0560545689782  7.22405539092
0.0  52  944  944.394441151  1.80493178077  0.0535735163805  7.24060205537
0.0  52  962  962.03391273  1.97290453404  0.0228819142507  7.2572231378
0.0  52  980  979.812285693  1.97834077092  0.0102983933031  7.27392259707
0.0  52  998  997.783824691  1.99953841701  0.0587764698998  7.29069615473
0.0  52  1016  1015.90707166  2.0041977646  0.0482628808738  7.30755733591
-1.33853991789  44  10  9.5110181526  1.32501972383  -0.0125581462984  6.25222559357
-1.33853991789  44  20  20.0565458503  1.62366040666  0.0383888068981  6.26461851394
-1.33853991789  44  31  30.5730341152  1.41923407991  -0.0412038492078  6.27706688306
-1.33853991789  44  41  41.3133157512  1.50559306174  0.0644411607217  6.28956276837
-1.33853991789  44  52  51.9933321338  1.61683325302  0.00397912369625  6.30210239401
-1.33853991789  44  63  62.7521246457  1.58058150763  -0.0211427012805  6.31469608539
-1.33853991789  44  74  73.6334812705  1.44513636426  -0.0478779842172  6.32733953543
-1.33853991789  45  85  84.5204586781  1.34720621316  0.0122992452874  6.34003274946
-1.33853991789  45  96  95.5347503361  1.37316524067  0.0110592178163  6.35277830052
-1.33853991789  45  107  106.61045691  1.46799524362  -0.0334362085163  6.36557423153
-1.33853991789  45  118  117.798923691  1.64018665669  0.0155519152637  6.37843079615
-1.33853991789  45  129  129.104873164  1.65436935769  0.104729226583  6.39133063869
-1.33853991789  45  140  140.43903728  1.39239531279  0.0958644554945  6.40428153139
-1.33853991789  45  152  151.771628205  1.61117867278  0.0111437426289  6.41728807798
-1.33853991789  45  163  163.333324937  1.48128788948  0.132281193659  6.43034248979
-1.33853991789  45  175  174.770048689  1.55993889586  -0.0836694856304  6.44345303523
-1.33853991789  46  186  186.404509461  1.39089926826  0.105341456943  6.45661957986
-1.33853991789  46  198  198.103664666  1.62096218745  0.0470348697622  6.46983964678
-1.33853991789  46  210  209.848449038  1.60337492571  -0.0571477917912  6.48311848993
-1.33853991789  46  222  221.736105036  1.54652414169  -0.0319286341881  6.4964460364
-1.33853991789  46  234  233.714989502  1.57123977491  -0.0101093936837  6.5098254984
-1.33853991789  46  246  245.776379041  1.59662867377  -0.0230680885231  6.52326102087
-1.33853991789  46  258  257.949639935  1.66529486887  0.0378209707628  6.53675493901
-1.33853991789  46  270  270.214839178  1.62952021469  0.119505065642  6.55029945534
-1.33853991789  46  282  282.485939491  1.37410185498  0.0721142770666  6.56390819317
-1.33853991789  46  295  294.854261712  1.68195662311  0.0256261312653  6.57756703028
-1.33853991789  46  307  307.412392022  1.49812582703  0.145417248051  6.5912871679
-1.33853991789  46  320  319.935925373  1.68997649248  0.0396334352625  6.60506791321
-1.33853991789  47  332  332.489870674  1.3233363844  0.086941812614  6.61890113393
-1.33853991789  47  345  345.288955592  1.61492660714  0.101471160633  6.63278953622
-1.33853991789  47  358  358.115583862  1.69221019293  0.0350458922021  6.64674077263
-1.33853991789  47  371  371.046970113  1.72353167118  0.0172588586088  6.66075002516
-1.33853991789  47  384  384.102671589  1.68322602945  0.0374896507541  6.67482232275
-1.33853991789  47  397  397.250005218  1.69522819543  0.0415160092198  6.68894572978
-1.33853991789  47  410  410.476546866  1.60611578252  0.0514005373396  6.70313776172
-1.33853991789  47  424  423.785803846  1.71161213494  0.0148810346438  6.71738967196
-1.33853991789  47  437  437.270613239  1.71677165212  0.061406389236  6.73169621829
-1.33853991789  47  451  450.77379648  1.72755715575  0.0181910160167  6.74606161077
-1.33853991789  47  464  464.434198659  1.64297746841  0.0728075213563  6.76049190455
-1.33853991789  47  478  478.190608649  1.70103717204  0.0965667814838  6.77498654679
-1.33853991789  47  492  492.001716774  1.74721437349  0.0534675423661  6.7895408646
-1.33853991789  47  506  505.952078459  1.75667965829  0.0505300667226  6.80415817311
-1.33853991789  47  520  520.021586794  1.76531292292  0.0603854081764  6.81883700811
-1.33853991789  47  534  534.205731928  1.70080118133  0.0605020569404  6.83358450976
-1.33853991789  47  548  548.472524913  1.58059121417  0.0509961097034  6.84839030075
-1.33853991789  47  563  562.821173261  1.74424576905  -0.0140032120289  6.8632668863
-1.33853991789  47  577  577.380394391  1.71807412232  0.0494038722873  6.87820158648
-1.33853991789  47  592  591.972250107  1.79690500674  0.0123742748348  6.89320016564
-1.33853991789  47  607  606.681566702  1.77380325619  -4.49138823483e-05  6.90826851953
-1.33853991789  47  622  621.542362809  1.74871075394  0.0224839178337  6.92340304869
-1.33853991789  47  636  636.501252731  1.71472950756  0.0337602424407  6.93860195257
-1.33853991789  47  652  651.571696983  1.74191754203  0.0445774720973  6.95387039624
-1.33853991789  47  667  666.713198234  1.80886314835  -0.000314804980371  6.96920700611
-1.33853991789  47  682  682.099566009  1.82228135976  0.0813822488487  6.9846032436
-1.33853991789  47  698  697.52274976  1.68542673214  0.0456746744311  7.00007028991
-1.33853991789  47  713  713.092863325  1.84701953512  0.0263960479166  7.01561293846
-1.33853991789  47  729  728.755999538  1.7784638606  -0.0165479632665  7.03121967752
-1.33853991789  46  745  744.739206644  1.77912227153  -0.0390783068624  7.04689365171
-1.33853991789  46  761  760.700171283  1.80782746195  -0.0415393762532  7.06264134986
-1.33853991789  46  777  776.813089529  1.89354072206  -0.00174698896352  7.07845463378
-1.33853991789  46  793  793.067802145  1.93211249648  0.056778288346  7.09434363212
-1.33853991789  46  809  809.42239125  1.79894838201  0.0647642765753  7.11030329506
-1.33853991789  46  826  825.86570248  1.90586442423  0.0503692791025  7.12633316121
-1.33853991789  46  842  842.498167526  1.61861357953  0.0954774214837  7.14243843801
-1.33853991789  46  859  859.317464869  1.83866545901  0.0856924539199  7.15861469701
-1.33853991789  46  876  876.249529113  1.82747353489  0.0740698374387  7.17486214559
-1.33853991789  45  893  893.476196562  1.68117506085  0.0610629701231  7.19118272919
-1.33853991789  45  911  910.653832429  1.81050753445  -0.0636748171339  7.20758141666
-1.33853991789  45  928  928.105332778  1.91083203034  0.0320027199199  7.22405539092
-1.33853991789  45  946  945.609830686  1.88066093363  0.0131004246608  7.24060205537
-1.33853991789  45  963  963.305342462  1.95408675298  0.0547648071704  7.2572231378
-1.33853991789  45  981  981.125115518  1.99909958712  0.0695149641553  7.27392259707
-1.33853991789  44  999  999.285264825  1.97547048916  0.120838021567  7.29069615473
-1.33853991789  44  1017  1017.41332478  1.90022689582  0.102450112736  7.30755733591
-1.15861191789  45  9  9.46624344512  1.28021365537  0.0655267506832  6.25222559357
-1.15861191789  45  20  19.9566234728  1.64390918832  0.0134944969428  6.26461851394
-1.15861191789  45  31  30.5234827664  1.2998441885  0.00414016355523  6.27706688306
-1.15861191789  45  41  41.2207882224  1.58649917779  0.0418054351324  6.28956276837
-1.15861191789  45  52  51.8909471522  1.61323659195  -0.0165111544566  6.30210239401
-1.15861191789  45  63  62.6670511973  1.50157420354  -0.0349436017366  6.31469608539
-1.15861191789  45  74  73.5569741127  1.34053841012  -0.0437713722449  6.32733953543
-1.15861191789  46  84  84.4721828989  1.32211286356  0.0911117991088  6.34003274946
-1.15861191789  46  95  95.4880926968  1.3209676442  0.0873451830896  6.35277830052
-1.15861191789  46  107  106.54022934  1.33175898866  -0.0125590793064  6.36557423153
-1.15861191789  46  118  117.701048009  1.58125998996  -4.09259229051e-05  6.37843079615
