# Band 2A   Etalon 1A   Slice 14
# Distortion map version 06.04.00 - date 2018-10-09
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness
0.0  791  3  2.84335332077  1.78378198411  -0.0403582453761
0.0  792  15  14.7708575779  1.65267027215  -0.011559101153
0.0  793  27  26.8173857232  1.66480944255  0.00201849771642
0.0  793  39  38.8945724304  1.66830258031  0.0300862785976
0.0  794  51  51.1575547964  1.63510731673  0.0765136347683
0.0  794  63  63.3986181107  1.5518528051  0.053000208736
0.0  795  76  75.7718200274  1.59562832357  0.0298852618183
0.0  796  88  88.3487403599  1.46726772758  0.136300548852
0.0  796  101  100.798637912  1.54285027058  0.00820470838752
0.0  797  114  113.51698414  1.34484758246  0.0360805568853
0.0  797  126  126.302779958  1.52841789427  0.0963290472115
0.0  798  139  139.185541182  1.62147379276  0.0378082286352
0.0  798  152  152.110426527  1.6450260443  0.0419650240834
0.0  799  165  165.203712684  1.64622126324  0.0382976673237
0.0  799  178  178.346758437  1.60282959147  0.0541472504427
0.0  800  192  191.607870891  1.65937810611  0.0142080155155
0.0  800  205  204.976766427  1.68396879715  0.0419369470051
0.0  800  218  218.453050722  1.60962097963  0.0645482535049
0.0  801  232  232.070925778  1.6526650134  0.103175983799
0.0  801  246  245.691885019  1.59244034197  0.0432818017965
0.0  802  260  259.546766114  1.48600481856  0.0461900170931
0.0  802  273  273.474848484  1.47638245035  0.0896090335764
0.0  802  287  287.473904104  1.4941623127  0.0485526329576
0.0  803  302  301.62587193  1.57332247283  -0.0075752605982
0.0  803  316  315.869342155  1.67750715424  0.00497396493877
0.0  803  330  330.263714322  1.6743684207  0.0425459991139
0.0  804  345  344.750566832  1.71326416597  0.0163327648149
0.0  804  359  359.366245772  1.68914608837  0.0596870012262
0.0  804  374  374.10091927  1.7297162469  0.085264351988
0.0  804  389  388.919854407  1.73955632008  0.0704085179801
0.0  805  404  403.916692965  1.73044745415  0.0629811199964
0.0  805  419  419.034242753  1.71475598208  0.0800324872001
0.0  805  434  434.282929852  1.6457327882  0.0947464566787
0.0  805  450  449.586836154  1.6086778229  0.00942491709939
0.0  805  465  465.110292622  1.77444380341  0.0311571741399
0.0  805  481  480.683616431  1.71933296529  -0.0134450978145
0.0  805  496  496.474772779  1.70470779598  0.0393990005072
0.0  806  512  512.377476625  1.77463835177  0.0499818466821
0.0  806  528  528.399880736  1.7857909384  0.0674791435151
0.0  806  545  544.539435809  1.75610491127  0.069638764081
0.0  806  561  560.811906001  1.8334473782  0.0423431448048
0.0  806  577  577.317977626  1.67126114163  0.159159898425
0.0  805  594  593.830370961  1.83732088381  0.0388455729749
0.0  805  611  610.56565828  1.77081646948  0.0161347172859
0.0  805  627  627.480714325  1.79690403519  0.0265598194921
0.0  805  645  644.50389833  1.82410553838  -0.0135189462596
0.0  805  662  661.698198555  1.92751770501  -0.0212188501074
0.0  805  679  679.03877273  2.01988719694  -0.00194174094592
0.0  805  697  696.541823188  1.93619672777  0.0199014496328
0.0  804  714  714.199998141  2.05134697929  0.0499227303707
0.0  804  732  732.00949371  2.06836659129  0.0535585438468
0.0  804  750  749.958459901  2.1099739991  0.0607440658266
0.0  803  768  768.10578404  2.08828094953  0.0869159356052
0.0  803  786  786.417404856  2.0275202671  0.0949105527464
0.0  802  805  804.85143572  2.11359473479  0.0423695960524
0.0  802  824  823.540544263  2.06421053143  0.0578875283964
0.0  801  842  842.382377027  2.06731455127  0.0450688507643
0.0  801  861  861.413802288  2.17438583388  0.0331505889265
0.0  800  881  880.577324442  2.18820185273  -0.0200994118686
0.0  800  900  899.99498783  2.357683075  -0.00471168043497
0.0  799  920  919.529738935  2.31236329869  -0.026603539473
0.0  798  939  939.319170634  2.43154200402  -0.00130659021818
0.0  798  959  959.241237083  2.50295850302  -0.00915374594384
0.0  797  979  979.400379615  2.4953866837  0.0119758919314
