# Band 2A   Etalon 1A   Slice 5
# Distortion map version 06.04.00 - date 2018-10-09
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness        wavelength
0.0  764  6  6.10648246043  1.67426265928  0.0403376781428  7.29069615473
0.0  764  18  18.2143392159  1.57106030087  0.0778301299791  7.30755733591
0.0  765  30  30.419182197  1.39450108621  0.0821685391275  7.32448606613
0.0  765  43  42.6265176231  1.51651280885  0.000387276176502  7.34149910688
0.0  766  55  55.0526996395  1.57708087961  0.059402467474  7.35858704736
0.0  766  67  67.4978134104  1.3836695887  0.0423596395713  7.37575406621
0.0  767  80  80.0778195036  1.57002707917  0.0735418921789  7.3930018908
0.0  768  93  92.6858383978  1.4599153916  0.00296275858464  7.41033439147
0.0  768  105  105.458105098  1.39312030117  0.0786952697881  7.4277404601
0.0  769  118  118.336878607  1.51240885501  0.0825264904194  7.44523069133
0.0  769  131  131.32229745  1.41537301959  0.397419254871  7.46281116155
0.0  770  144  144.31082383  1.56892055149  0.0597460079171  7.48046540087
0.0  770  157  157.414476139  1.55603835162  0.0356981672084  7.49820975433
0.0  771  171  170.663870029  1.56357485591  -0.00529412720552  7.51603192907
0.0  771  184  184.028165399  1.64064778585  0.0207178088736  7.53394238624
0.0  772  198  197.522674639  1.58163704176  0.00565942568853  7.55193643168
0.0  772  211  211.110956452  1.63011294049  0.0485814274385  7.5700217338
0.0  772  225  224.736953411  1.61438731224  -0.0111891788731  7.58818685258
0.0  773  239  238.562213521  1.47289827837  0.0165437993447  7.60644596181
0.0  773  252  252.479579769  1.38338505515  0.0752333193496  7.62478801897
0.0  774  266  266.494482823  1.43747510151  0.0518262056973  7.6432169222
0.0  774  281  280.571319442  1.44852916105  -0.000877865151864  7.66173844531
0.0  774  295  294.764849863  1.60012639792  -0.0165685791276  7.6803446471
0.0  775  309  309.184955764  1.67541446533  0.0195135427279  7.69904812526
0.0  775  324  323.601125842  1.60658279471  -0.00725899517336  7.71784197575
0.0  775  338  338.229279789  1.69336306366  0.0351813920322  7.73672166641
0.0  776  353  352.930539567  1.72813089183  0.00463490486774  7.7556949654
0.0  776  368  367.758881674  1.66982657243  0.00209519114949  7.77476341225
0.0  776  383  382.70380933  1.66282718419  -0.00698283177633  7.79392293448
0.0  776  398  397.794889906  1.67385598296  0.00467563776863  7.81317756701
0.0  776  413  413.011138001  1.72858412043  0.0134094839976  7.8325368347
0.0  777  428  428.384143107  1.60736232418  0.0597625277321  7.85198214587
0.0  777  444  443.778728422  1.70642020958  -0.0221752814695  7.87152163284
0.0  777  459  459.412458917  1.66616249912  0.0381003053395  7.89115894558
0.0  777  475  475.100114782  1.83110117157  -0.00166822848603  7.91089855049
0.0  777  491  490.935897096  1.8170446193  -0.0249482860719  7.93073880869
0.0  777  507  506.948236327  1.83245286199  -0.0103053883166  7.95067775934
0.0  777  523  523.101153137  1.84030690819  0.0161604535961  7.97071507989
0.0  777  539  539.396081381  1.7966895252  0.0553154451117  7.9908458955
0.0  777  556  555.736849289  1.70018719471  -0.165615354807  8.01108787094
0.0  777  572  572.387047639  1.78392120167  0.0669778929821  8.03142653766
0.0  777  589  589.064985636  1.88351931598  0.0314475656771  8.05186706985
0.0  777  606  605.898747443  1.87524234645  0.00372615415173  8.07241887251
0.0  777  623  622.863052727  1.89180503924  -0.0289004473838  8.09306889892
0.0  777  640  640.040352649  1.93920224802  0.00255858048852  8.11382299322
0.0  777  657  657.348434159  1.94304669773  0.0224041289594  8.13469133344
0.0  777  675  674.770298091  1.9714134753  -0.0338742081736  8.15566417576
0.0  776  692  692.431203462  1.96781887119  0.01794806969  8.17673984077
0.0  776  710  710.207671192  2.03446749553  0.0226308596299  8.19792487393
0.0  776  728  728.157931964  2.09283378248  0.0329189602937  8.21921825305
0.0  775  746  746.269646733  2.03394286671  0.049234621732  8.24062531645
0.0  775  765  764.526978682  2.00179310949  0.0352117501821  8.26215256974
0.0  775  783  782.940434731  2.079450884  0.0273416073216  8.28378288708
0.0  774  802  801.58825858  2.05788063786  0.0305961363555  8.30551487753
0.0  774  820  820.388870565  2.01340929255  0.0604698576672  8.32737685112
0.0  773  839  839.372126579  2.09300268006  0.0380459570134  8.34934670723
0.0  773  858  858.482629191  2.05958758025  0.00808740354902  8.37143526475
0.0  772  878  877.801789206  2.21283690609  -0.0290354382162  8.39363003792
0.0  771  897  897.348043774  2.27916699355  0.00526898417761  8.41595293143
0.0  771  917  917.018049403  2.37432807063  -0.0284474871528  8.43838792507
0.0  770  937  936.910130458  2.42109373899  -0.0452274237505  8.46094502012
0.0  769  957  957.027370704  2.48414679232  -0.0295731634852  8.48362151745
0.0  769  977  977.326039011  2.54217168023  -0.0100260936558  8.50642960091
0.0  768  998  997.798184357  2.5429365004  -0.00785500973583  8.52934390426
0.0  767  1018  1018.50356626  2.57012101002  0.00484378330967  8.5523944618
-1.77573017382  773  7  6.58325184745  1.55394448029  0.0505796785085  7.29069615473
-1.77573017382  773  19  18.6400078563  1.54987220198  0.00244251191739  7.30755733591
-1.77573017382  774  31  30.8478982381  1.59840326851  0.033144866512  7.32448606613
-1.77573017382  774  43  43.1319502222  1.57258963359  0.0731506419536  7.34149910688
-1.77573017382  775  55  55.4881322163  1.03592518963  0.0477443980578  7.35858704736
-1.77573017382  776  68  67.9928430925  1.58376441778  0.087835281976  7.37575406621
-1.77573017382  776  80  80.4943389104  1.15674945181  0.0977541056225  7.3930018908
-1.77573017382  777  93  93.1685107574  1.53026709625  0.0750739630381  7.41033439147
-1.77573017382  777  106  105.820726492  1.54593694352  0.020777454806  7.4277404601
-1.77573017382  778  119  118.669449597  1.49540970392  0.00836565142055  7.44523069133
-1.77573017382  778  132  131.583384792  1.50664058543  0.00841450435213  7.46281116155
-1.77573017382  779  145  144.639799464  1.51726411834  0.019217861771  7.48046540087
-1.77573017382  779  158  157.754441702  1.62716965054  0.0181197564927  7.49820975433
-1.77573017382  780  171  171.028534376  1.64870728959  0.00846721406647  7.51603192907
-1.77573017382  780  184  184.391312651  1.58747727942  0.0448733075086  7.53394238624
-1.77573017382  781  198  197.84292128  1.62312643267  0.0256737865731  7.55193643168
-1.77573017382  781  211  211.41946448  1.56517626171  0.0521657402372  7.5700217338
-1.77573017382  782  225  225.089026514  1.67561567099  0.0616997258731  7.58818685258
-1.77573017382  782  239  238.835119718  1.60381084777  0.0193329651208  7.60644596181
-1.77573017382  782  253  252.711126231  1.56007356788  0.00910090253387  7.62478801897
-1.77573017382  783  267  266.708299009  1.55389115559  -0.00736252143722  7.6432169222
-1.77573017382  783  281  280.803246975  1.60513306363  -0.00749769697082  7.66173844531
