# Band 2A   Etalon 1B   Slice 13
# Distortion map version 06.04.00 - date 2018-10-09
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness        wavelength
0.0  736  12  11.5466145043  1.64588623234  -0.00188062390508  7.22299886738
0.0  736  22  22.0153886574  1.69568428748  0.0202333253888  7.23732983129
0.0  737  33  32.5440516965  1.55620857768  -0.00167124529173  7.25172563222
0.0  737  43  43.1496946339  1.64250649945  0.0153351889859  7.26616656937
0.0  738  54  53.8065924267  1.6334733183  -0.0284090018839  7.28069825681
0.0  738  65  64.5411929564  1.45611126641  -0.0234846542565  7.29525990891
0.0  739  75  75.4146783229  1.44069621782  0.040637687091  7.30990138157
0.0  739  86  86.3523443965  1.35468129172  0.251829574546  7.32458712503
0.0  740  97  97.267267805  1.54623939878  0.0759762175138  7.33932611256
0.0  740  108  108.299366525  1.55419022983  0.0832491712828  7.35412686612
0.0  741  119  119.403620023  1.54468781275  0.0462081017513  7.36899488004
0.0  741  131  130.548861765  1.56962611256  0.0178781273728  7.38391983841
0.0  742  142  141.812327355  1.69726994486  -0.0023938867249  7.39892204619
0.0  742  153  153.158912639  1.67464079217  0.00751633705064  7.41397333503
0.0  743  165  164.554136095  1.59008694817  -0.00916644264261  7.42908561467
0.0  743  176  176.05985308  1.6800534064  -0.00206412858643  7.44425752895
0.0  743  188  187.583854929  1.61802067076  -0.0479611879468  7.45948396301
0.0  744  199  199.295290995  1.61456267766  0.00210051678927  7.47477076542
0.0  744  211  210.970172896  1.65444704357  -0.0517184357584  7.49012600446
0.0  744  223  222.759289508  1.57977549734  -0.0612077087983  7.50556140045
0.0  745  235  234.654664964  1.50449395186  -0.0703798419969  7.52105879032
0.0  745  247  246.610196943  1.42420772331  -0.0653938289692  7.53662626263
0.0  745  259  258.664026025  1.47106093358  -0.0419442937941  7.55223939923
0.0  746  271  270.808525496  1.61585739674  -0.00770101062333  7.56791186496
0.0  746  283  283.081131311  1.6635401289  0.0431403277767  7.58367393217
0.0  746  295  295.389881888  1.54012456334  0.0667266949658  7.59946742423
0.0  747  308  307.754866092  1.65143776598  -0.00749376781369  7.61534545146
0.0  747  320  320.296804393  1.63379891649  0.0614351756707  7.6312889727
0.0  747  333  332.826268798  1.6937330075  0.00553707778438  7.64732015637
0.0  747  346  345.513641261  1.63512763004  0.0230303682051  7.66340201404
0.0  748  358  358.296877171  1.69758795753  0.0512826984593  7.67955180272
0.0  748  371  371.137535098  1.72732887888  0.0338557593837  7.69577043812
0.0  748  384  384.056843547  1.75590690484  0.00572083988529  7.71205015428
0.0  748  397  397.098035049  1.74386851742  0.00147237139366  7.72839474865
0.0  748  410  410.23303046  1.74057618693  0.00579959424082  7.74482365826
0.0  749  423  423.433689681  1.62489442538  -0.00153879584081  7.76131376138
0.0  749  437  436.710661393  1.68846315142  -0.0578962895238  7.77789652121
0.0  749  450  450.197856914  1.71150981276  0.0181160330278  7.79453685972
0.0  749  464  463.654180921  1.6418153987  -0.034331205914  7.81125163637
0.0  749  477  477.330759093  1.67555134791  0.0610393172242  7.82802596035
0.0  749  491  491.011690427  1.74135919914  0.0261341855172  7.84487117929
0.0  749  505  504.794163529  1.74306869686  -0.0124721342262  7.86180100352
0.0  749  519  518.712451421  1.72216339537  -0.0193318558195  7.8787926858
0.0  749  533  532.753007235  1.75415437956  0.00486046564401  7.89586558716
0.0  749  547  546.89730183  1.79310127356  0.028419287906  7.91303579291
0.0  749  561  561.177438972  1.78692495155  0.0788176794492  7.93024924737
