# Band 2A   Etalon 1B   Slice 4
# Distortion map version 06.04.00 - date 2018-10-09
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness
0.0  707  2  1.84012219684  1.64170348845  -0.368675846863
0.0  708  13  12.5488404009  1.44986934912  0.0377234425059
0.0  708  23  23.1808645043  1.55162702669  0.0939194766215
0.0  709  34  33.7993935075  1.53998480161  0.0326760712524
0.0  709  45  44.544704078  1.26458895645  0.0550929751945
0.0  710  55  55.4222331228  1.33294333777  0.146611760594
0.0  710  66  66.2966682666  1.43811902883  0.147221851785
0.0  711  77  77.2368012723  1.4847338191  0.13057478636
0.0  711  88  88.2461971849  1.50347849673  0.120590204914
0.0  711  99  99.3256448632  1.51129870137  0.104351931873
0.0  712  110  110.476245889  1.3611776201  0.0860938896774
0.0  712  122  121.656153788  1.58938369478  0.0016879453824
0.0  713  133  133.013186847  1.61506570765  0.0447701165696
0.0  713  144  144.428602569  1.43370967846  0.0895120851288
0.0  714  156  155.869683467  1.60423648374  0.0196721400283
0.0  714  167  167.444634835  1.43491275189  0.0660014849922
0.0  715  179  179.070927821  1.60260727538  0.0467593057601
0.0  715  191  190.752673257  1.53126896291  0.00347910999879
0.0  715  203  202.552035194  1.38781993317  0.00772468760133
0.0  716  214  214.483075259  1.25547405732  0.104589506906
0.0  716  226  226.443982602  1.2865589821  0.117155012133
0.0  716  238  238.475121076  1.25862519932  0.109970039526
0.0  717  251  250.561789585  1.44455501642  0.0158126863124
0.0  717  263  262.745320855  1.58908604413  0.00259951082331
0.0  717  275  275.071408065  1.61911003846  0.0587407611249
0.0  718  287  287.451485668  1.5384261146  0.0419496862277
0.0  718  300  299.896561025  1.67262100019  0.0212507327751
0.0  718  312  312.471662004  1.53674610857  0.0468805086439
0.0  718  325  325.127423467  1.66840805449  0.0589169130228
0.0  719  338  337.822556459  1.65340635465  0.00953231282376
0.0  719  351  350.639411227  1.62215970244  -0.0088830737988
0.0  719  364  363.585111814  1.57881650293  0.000455866870053
0.0  719  377  376.580498753  1.56228723454  0.00174729591612
0.0  720  390  389.669868407  1.60180426473  -0.0362658462659
0.0  720  403  402.880843565  1.6716142097  -0.00437607757718
0.0  720  416  416.242706748  1.63439961279  0.0644413113923
0.0  720  430  429.594084913  1.56783101788  -0.0100294513335
0.0  720  443  443.124756474  1.66840184916  0.0479157121114
0.0  720  457  456.66902142  1.63576897747  -0.0177074408572
0.0  720  470  470.420886064  1.5660511975  0.0702281907417
0.0  721  484  484.213899011  1.685480824  0.0517816092901
0.0  721  498  498.112186431  1.70431084617  0.0703104103857
0.0  721  512  512.109228965  1.73983823184  0.0602664372272
0.0  721  526  526.226463761  1.71924998201  0.069008653048
0.0  721  540  540.414780802  1.69445420799  0.0381680158489
0.0  721  555  554.699991488  1.74359448766  -0.0182223937151
0.0  721  569  569.178724905  1.78901739649  0.0455086821834
0.0  721  584  583.685594537  1.77349949472  -0.000143782177853
0.0  721  598  598.356881968  1.77532579756  0.018140149511
0.0  721  613  613.129664446  1.82496117526  0.00681181409814
0.0  720  628  628.02746371  1.83703554629  0.0104449824544
0.0  720  643  643.018733171  1.84921143018  -0.00719214392039
0.0  720  658  658.137751155  1.81288562523  0.0273514787753
0.0  720  673  673.380239052  1.78186719072  0.034347373909
0.0  720  689  688.67862622  1.77310805483  -0.00287217939199
0.0  720  704  704.192234327  1.82972074003  0.052960981311
0.0  719  720  719.778112413  1.84034798255  -0.0161473380044
