# Band 2C   Etalon 1B   Slice 14
# Distortion map version 06.04.00 - date 2018-10-09
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness        wavelength
0.0  791  14  14.3001359002  1.7172232024  0.0258175179997  9.8091536351
0.0  792  28  28.2175208761  1.7435104234  0.0533542507556  9.83562653064
0.0  792  42  42.2221426768  1.63917404447  0.0605792831686  9.86223996345
0.0  793  56  56.3907529622  1.59721883264  0.0632798423714  9.88901371102
0.0  794  71  70.6774148518  1.70204738957  0.0755921914413  9.91593400567
0.0  794  85  85.0590316505  1.70351951346  0.0747611838772  9.94298796129
0.0  795  100  99.5991584472  1.76548300201  0.0320161340326  9.97019593607
0.0  795  114  114.207760269  1.78472413166  -0.0110976917623  9.99756098643
0.0  796  129  129.03895021  1.79841623922  0.0285265943407  10.0250791501
0.0  797  144  143.99625933  1.79463616861  0.0282998340384  10.05274428
0.0  797  159  159.006752594  1.77175197933  0.00171432820682  10.0805224765
0.0  798  174  174.227615838  1.78047418296  -0.0113382254388  10.1084975127
0.0  798  190  189.527927674  1.81117991135  -0.00141112264496  10.1366142309
0.0  799  205  205.01984985  1.78371719444  -0.0208867347149  10.1648755452
0.0  799  221  220.601318291  1.75271380566  -0.0116650039122  10.1933086648
0.0  800  236  236.391603586  1.72899467322  -0.0110282257536  10.2219040545
0.0  800  252  252.299161112  1.70989369993  0.0232619319655  10.2506555366
0.0  801  268  268.36641251  1.66511514862  0.0324449829805  10.2795910303
0.0  801  285  284.544644088  1.67758983509  0.0403593033343  10.3086655119
0.0  801  301  300.865310443  1.74752938285  0.0485416941081  10.3379324369
0.0  802  317  317.424524983  1.72491258223  0.0692799722141  10.3673319743
0.0  802  334  334.06753667  1.77807421262  0.0865627414063  10.3969002121
0.0  802  351  350.871966323  1.85915728509  0.0432348067059  10.4266428233
0.0  803  368  367.883654439  1.83027481852  0.0547341889135  10.4565548558
0.0  803  385  385.007215194  1.85278035666  0.0306636334194  10.4866526634
0.0  803  402  402.306196911  1.82748491158  0.0243199263646  10.5169203994
0.0  804  420  419.819901359  1.87007195685  0.0395804617012  10.5473467563
0.0  804  437  437.467841041  1.86352023882  0.0120592152165  10.577965846
0.0  804  455  455.287417825  1.89332306093  0.00524058925416  10.6087574663
0.0  804  473  473.270535461  1.88266250002  -0.00507067776307  10.6397379516
0.0  804  491  491.446668122  1.86936037407  -0.0211163547035  10.6708972047
0.0  804  510  509.792182492  1.87815878409  -0.0307900064081  10.702228954
0.0  804  528  528.358554421  1.80375677914  0.0577275496057  10.7337198932
0.0  804  547  547.057550786  1.89266062651  -0.0287802733089  10.7654214739
0.0  804  566  565.959449057  1.86692280974  -0.0152701839426  10.797301172
0.0  804  585  585.063029443  1.89429108916  0.00216488683901  10.8293935284
0.0  804  604  604.373327806  1.84453542223  0.0336712572451  10.8616660023
0.0  804  624  623.833253733  1.90277715321  0.018902508989  10.8941273142
0.0  804  644  643.547866984  1.9053127081  0.0327642024797  10.9268139676
0.0  804  663  663.436737956  1.9189658787  0.0266879205313  10.9596672272
0.0  803  684  683.537525229  1.9369450986  0.036972863382  10.9927167733
0.0  803  704  703.854866962  2.00585113614  0.0342004664633  11.0259428426
0.0  803  724  724.408480216  1.98608504626  0.0401156403951  11.0593897254
